56
# x y z
21.375 2965.981 0.0
22.875 2964.563 0.0
24.375 2963.821 0.0
25.875 2963.132 0.0
27.375 2962.38 0.0
28.875 2961.36 0.0
30.375 2960.586 0.0
31.875 2959.859 0.0
33.375 2959.2 0.0
34.875 2958.635 0.0
36.375 2958.012 0.0
37.875 2957.277 0.0
39.375 2956.528 0.0
40.875 2955.697 0.0
42.375 2954.975 0.0
43.875 2954.283 0.0
45.375 2953.512 0.0
46.875 2952.847 0.0
48.375 2951.95 0.0
49.875 2951.131 0.0
51.375 2950.357 0.0
52.875 2949.624 0.0
54.375 2948.811 0.0
55.875 2948.158 0.0
57.375 2947.454 0.0
58.875 2946.845 0.0
60.375 2946.19 0.0
61.875 2945.65 0.0
63.375 2945.17 0.0
64.875 2944.684 0.0
66.375 2944.204 0.0
67.875 2943.74 0.0
69.375 2943.484 0.0
70.875 2943.148 0.0
72.375 2942.711 0.0
73.875 2942.282 0.0
75.375 2941.835 0.0
76.875 2941.254 0.0
78.375 2940.771 0.0
79.875 2940.297 0.0
81.375 2939.781 0.0
82.875 2939.288 0.0
84.375 2939.127 0.0
85.875 2939.202 0.0
87.375 2939.147 0.0
88.875 2939.03 0.0
90.375 2938.745 0.0
91.875 2938.389 0.0
93.375 2938.393 0.0
94.875 2938.589 0.0
96.375 2938.645 0.0
97.875 2938.588 0.0
99.375 2938.778 0.0
100.875 2938.937 0.0
102.375 2939.046 0.0
103.875 2939.099 0.0
930
# a b m n r rhoa k err
6 42 18 30 8.801843 1039.9083357213988 118.14665811710101 0.05
6 45 19 32 7.64345597 983.9490849488826 128.73091554537766 0.05
6 48 20 34 6.84183896 959.2715350963668 140.2066813768395 0.05
6 51 21 36 6.26614005 961.057296483445 153.37309552847373 0.05
7 10 8 9 369.234233 3778.6702594974163 10.233802615743421 0.05
7 13 9 11 120.558615 2596.028891142671 21.533333732663326 0.05
7 16 10 13 79.9538517 2626.3141316154074 32.84787506510343 0.05
7 19 11 15 42.0470353 1747.390936198524 41.5580057840255 0.05
7 22 12 17 27.5793858 1444.6961557183313 52.38318816071427 0.05
7 25 13 19 22.039913 1407.6088029000641 63.866350239225724 0.05
7 28 14 21 18.2802645 1353.8871763029283 74.06277826575914 0.05
7 31 15 23 16.5851888 1381.74561002274 83.31202174935386 0.05
7 34 16 25 13.8189194 1260.9846364058299 91.25059636760236 0.05
7 37 17 27 11.483726 1126.8917189636848 98.12945022927966 0.05
7 40 18 29 9.50126385 1009.4348338709667 106.24216418018605 0.05
7 43 19 31 8.11141605 965.2816663062928 119.0028547859153 0.05
7 46 20 33 7.26403795 933.7406661426619 128.5429223483974 0.05
7 49 21 35 6.59030368 939.544558979612 142.56468360189618 0.05
7 52 22 37 6.26490536 966.6959218348743 154.30335596240744 0.05
8 11 9 10 255.933677 2638.10426201254 10.307765249715613 0.05
8 14 10 12 147.050961 3169.5685120834373 21.554218282758704 0.05
8 17 11 14 66.2938411 2071.0566799106787 31.24055938750966 0.05
8 20 12 16 34.6261578 1426.5767034501962 41.19939358244928 0.05
8 23 13 18 28.0333039 1476.773650815428 52.67925807401632 0.05
8 26 14 20 22.3414795 1412.0957779914445 63.20511486231002 0.05
8 29 15 22 18.9179213 1392.5053739413588 73.60773691036334 0.05
8 32 16 24 15.6468317 1287.3546798455113 82.27574147458309 0.05
8 35 17 26 13.1302053 1178.1787152165193 89.73041078165924 0.05
8 38 18 28 10.6910323 1028.4592003154698 96.19830634273454 0.05
8 41 19 30 8.79424753 934.6993314987901 106.28531074548798 0.05
8 44 20 32 7.83673825 933.8871966296156 119.1678434110793 0.05
8 47 21 34 7.06224407 915.1711278607746 129.5864485551226 0.05
8 50 22 36 6.40728563 921.2727670912412 143.78518772094156 0.05
8 53 23 38 6.10974394 949.2466888366614 155.36603467487728 0.05
9 12 10 11 340.102379 3536.0608437748833 10.397048248153782 0.05
9 15 11 13 130.543917 2737.205913231381 20.967701721646527 0.05
9 18 12 15 50.132182 1501.4947232693312 29.950715555714915 0.05
9 21 13 17 39.9603907 1632.3982753417217 40.85040828546558 0.05
9 24 14 19 30.4955288 1609.402642407055 52.77503639835408 0.05
9 27 15 21 23.8028126 1497.8542760110176 62.92761705022278 0.05
9 30 16 23 19.3073639 1391.6391458126889 72.07815385986945 0.05
9 33 17 25 15.2716203 1239.4743290751837 81.161939907266 0.05
9 36 18 27 12.6651792 1108.888789382551 87.55413341348941 0.05
9 39 19 29 9.77817757 937.4216226437464 95.86874608616321 0.05
9 42 20 31 8.47203396 913.2131373316215 107.79148686646927 0.05
9 45 21 33 7.68373841 918.3487455690623 119.51848131293453 0.05
9 48 22 35 6.81944288 896.8216565097639 131.50951951514313 0.05
9 51 23 37 6.35174647 922.5494676698509 145.24343375906986 0.05
9 54 24 39 6.07254561 942.2929399462009 155.17264100815885 0.05
10 13 11 12 373.439533 3820.802624810203 10.231382291307126 0.05
10 16 12 14 82.1191941 1666.3911376953324 20.292346460026113 0.05
10 19 13 16 51.3436579 1552.252130099822 30.232597239625616 0.05
10 22 14 18 39.6438135 1674.7700075390735 42.24543149813459 0.05
10 25 15 20 29.9059152 1584.0814125498136 52.968832485347704 0.05
10 28 16 22 22.3368285 1406.8983885651587 62.98559298895807 0.05
10 31 17 24 17.7876542 1277.458563060991 71.81714624635502 0.05
10 34 18 26 14.2277314 1132.9464774636558 79.62945360801905 0.05
10 37 19 28 11.2307027 972.3773646053124 86.58205907323256 0.05
10 40 20 30 9.23380864 892.3942722853001 96.64422418497294 0.05
10 43 21 32 8.28777441 908.1256446460721 109.5741268669585 0.05
10 46 22 34 7.31082577 882.5187866954486 120.71396781426083 0.05
10 49 23 36 6.49760452 876.7024143280801 134.92701989318365 0.05
10 52 24 38 6.42350746 940.8340961324221 146.46734700490597 0.05
10 55 25 40 5.94526425 923.1704230359865 155.2782827165313 0.05
11 14 12 13 210.275122 2243.384990197113 10.668808410902328 0.05
11 17 13 15 84.2078264 1712.094020547454 20.33176836099232 0.05
11 20 14 17 60.8827571 1908.8572307601871 31.353002421110578 0.05
11 23 15 19 43.7027086 1893.150205418398 43.318830023693266 0.05
11 26 16 21 29.2509703 1546.851858689958 52.88206999034004 0.05
11 29 17 23 22.1571623 1389.2258258403529 62.69872500055446 0.05
11 32 18 25 17.4108525 1241.6319310442602 71.31367812370246 0.05
11 35 19 27 13.4947733 1064.9161767087382 78.91323203693524 0.05
11 38 20 29 10.5610221 921.1494626144464 87.22162058674665 0.05
11 41 21 31 9.1146792 893.0047249370256 97.97434504738528 0.05
11 44 22 33 8.07099482 898.2309683832051 111.29123341243888 0.05
11 47 23 35 6.9817795 857.7012265749961 122.84851255686263 0.05
11 50 24 37 6.78679144 933.9306733715779 137.6100446916898 0.05
11 53 25 39 6.14945343 909.050350237294 147.8262028626004 0.05
11 56 26 41 5.87815853 908.8495414304911 154.61467001817846 0.05
12 15 13 14 297.259981 3081.534277500493 10.366461933873612 0.05
12 18 14 16 103.081959 2148.1242039425792 20.838992824559913 0.05
12 21 15 18 69.7287093 2294.2527594221 32.90255595512794 0.05
12 24 16 20 44.0953227 1894.0633068663478 42.95383707139415 0.05
12 27 17 22 28.6854995 1528.109946632202 53.271163942332684 0.05
12 30 18 24 21.7104337 1341.1557598427432 61.77471064720109 0.05
12 33 19 26 15.9659609 1135.6786246571382 71.13124175677633 0.05
12 36 20 28 13.133796 1031.9916609424029 78.57527716605335 0.05
12 39 21 30 10.3416026 910.5035131468173 88.04278682559485 0.05
12 42 22 32 8.92579072 887.2319460859703 99.40093532530979 0.05
12 45 23 34 7.65161166 868.1039838150604 113.45374313142551 0.05
12 48 24 36 7.02376431 881.7051597651975 125.53171217745454 0.05
12 51 25 38 6.58313649 911.9858999168015 138.5336459759171 0.05
12 54 26 40 6.26902931 928.060695961017 148.03897861517848 0.05
13 16 14 15 185.633897 1949.298183960811 10.500766376524494 0.05
13 19 15 17 108.124021 2295.9058837750094 21.234003901640037 0.05
13 22 16 19 60.0358011 1961.8825325376586 32.678543412285016 0.05
