x,z
-4.257584318931118,-18.805744099310903
-4.099471062867349,-18.614611028029366
-3.9413578068035804,-18.427551970777042
-3.783244550739811,-18.244534209105655
-3.625131294676042,-18.06552502456693
-3.467018038612273,-17.890491698712587
-3.3089047825485034,-17.719401513094354
-3.1507915264847344,-17.55222174926395
-2.9926782704209653,-17.388919688773104
-2.8345650143571963,-17.22946261317353
-2.6764517582934273,-17.073817804016958
-2.518338502229658,-16.92195254285511
-2.360225246165889,-16.773834111239708
-2.2021119901021198,-16.629429790722476
-2.0439987340383503,-16.48870686285514
-1.8858854779745813,-16.35163260918904
-1.7277722219108123,-16.218174311276655
-1.5696589658470432,-16.08829925066934
-1.4115457097832742,-15.961974708918808
-1.2534324537195047,-15.839167967576785
-1.0953191976557357,-15.719846308194995
-0.9372059415919667,-15.603977012325164
-0.7790926855281972,-15.491527361519008
-0.6209794294644282,-15.382464637328253
-0.46286617340065916,-15.276756121304624
-0.30475291733689014,-15.174369094999843
-0.1466396612731211,-15.075270839965635
0.011473594790648356,-14.979428637753722
0.16958685085441783,-14.886809769915828
0.3277001069181864,-14.797381518003672
0.4858133629819559,-14.711111163568983
0.6439266190457245,-14.627965988163481
0.8020398751094939,-14.547913273338889
0.9601531311732634,-14.470920300646931
1.118266387237032,-14.396954351639332
1.2763796433008014,-14.325982707867814
1.43449289936457,-14.2579726508841
1.5926061554283395,-14.19289146223991
1.750719411492109,-14.130706423486973
1.9088326675558775,-14.071384816177009
2.066945923619647,-14.01489392186174
2.2250591796834165,-13.96120102209289
2.383172435747185,-13.910273398422186
2.5412856918109545,-13.862078332401346
2.699398947874724,-13.8165831055821
2.8575122039384926,-13.77375499951616
3.015625460002262,-13.733561295755262
3.1737387160660306,-13.69596927585112
3.3318519721298,-13.660946221355461
3.4899652281935696,-13.62845951707355
3.648078484257338,-13.598477500405519
3.8061917403211067,-13.570969561582118
3.964304996384876,-13.545905659672853
4.122418252448646,-13.523255869224407
4.280531508512415,-13.502989962468519
4.438644764576185,-13.485077027099365
4.596758020639954,-13.469485119620398
4.754871276703722,-13.456180954260677
4.912984532767491,-13.445129627460664
5.071097788831261,-13.436294377927503
5.22921104489503,-13.429636382259785
5.3873243009588,-13.425114586141769
5.545437557022567,-13.42268557110709
5.703550813086337,-13.422303456871973
5.861664069150106,-13.423919839237856
6.019777325213876,-13.427483763563574
6.177890581277645,-13.432941733806953
6.336003837341413,-13.440237757135908
6.494117093405182,-13.44931342410903
6.652230349468952,-13.460108024425628
6.810343605532721,-13.472558698245258
6.968456861596491,-13.486600623076729
7.1265701176602585,-13.502167236236588
7.284683373724028,-13.519190492877081
7.442796629787797,-13.537601121703995
7.600909885851567,-13.557327885400017
7.759023141915336,-13.578297130097702
7.917136397979106,-13.600433926513258
8.075249654042874,-13.623663276565285
8.233362910106642,-13.647911296475606
8.391476166170413,-13.67310623367913
8.549589422234181,-13.699178336374327
8.707702678297952,-13.726059938118546
8.86581593436172,-13.753685929559868
9.023929190425488,-13.781994174656159
9.182042446489259,-13.810925867806676
9.340155702553027,-13.840425831896304
9.498268958616798,-13.870442757252412
9.656382214680566,-13.900929381514285
9.814495470744333,-13.93184261041517
9.972608726808105,-13.963143579476963
10.130721982871872,-13.99479765661744
10.288835238935643,-14.026774385670151
10.446948494999411,-14.059047370816895
10.605061751063179,-14.091594101932793
10.76317500712695,-14.124395720843992
10.921288263190718,-14.157436728497945
11.079401519254489,-14.19070463304634
11.237514775318257,-14.22418953884058
11.395628031382024,-14.257883683007568
11.553741287445796,-14.291783521554077
11.711854543509563,-14.32589478960957
11.869967799573331,-14.360229648958164
12.028081055637102,-14.394802619929234
12.18619431170087,-14.429626706153542
12.344307567764641,-14.464709764525836
12.502420823828409,-14.500052526540957
12.660534079892177,-14.535647435817685
12.818647335955948,-14.571476610607276
12.976760592019716,-14.607509993842752
13.134873848083487,-14.643703755141132
13.292987104147254,-14.679998944758507
13.451100360211026,-14.71632039949798
13.609213616274793,-14.752575900570527
13.767326872338561,-14.788655583408667
13.925440128402332,-14.824431599433055
14.0835533844661,-14.859758029771934
14.241666640529871,-14.89447105093346
14.399779896593639,-14.928389352430898
14.557893152657407,-14.961314806360704
14.716006408721178,-14.993033388933474
14.874119664784946,-15.023316353957746
15.032232920848717,-15.05192165827673
15.190346176912485,-15.078595639157857
15.348459432976252,-15.103074943635232
15.506572689040024,-15.125085558297151
15.664685945103791,-15.144327044874716
15.822799201167562,-15.160475854609604
15.98091245723133,-15.173198261289617
16.139025713295098,-15.182162831187565
16.29713896935887,-15.187052401541505
16.455252225422637,-15.187571966273044
16.613365481486408,-15.183449532669895
16.771478737550176,-15.174441446077257
16.929591993613943,-15.160337999737942
17.087705249677715,-15.140968310434122
17.245818505741482,-15.116204459930673
17.403931761805254,-15.085964902220159
