x,z
-4.257584318931118,-18.786630886118633
-4.099471062867349,-18.59510123473706
-3.9413578068035804,-18.407713677430934
-3.783244550739811,-18.224433200235737
-3.625131294676042,-18.04522478918697
-3.467018038612273,-17.870053430320134
-3.3089047825485034,-17.69888410967071
-3.1507915264847344,-17.531681813274208
-2.9926782704209653,-17.368411527166117
-2.8345650143571963,-17.209038237381932
-2.6764517582934273,-17.053526929957147
-2.518338502229658,-16.90184259092726
-2.360225246165889,-16.753950206327765
-2.2021119901021198,-16.609814762194155
-2.0439987340383503,-16.46940124456193
-1.8858854779745813,-16.332674639466198
-1.7277722219108123,-16.199599932943222
-1.5696589658470432,-16.070142111028122
-1.4115457097832742,-15.944266159756378
-1.2534324537195047,-15.821937065163498
-1.0953191976557357,-15.70311981328497
-0.9372059415919667,-15.58777939015629
-0.7790926855281972,-15.475880781812958
-0.6209794294644282,-15.367388974290462
-0.46286617340065916,-15.262268953624304
-0.30475291733689014,-15.160485705849974
-0.1466396612731211,-15.062004217002972
0.011473594790648356,-14.96678947311879
0.16958685085441783,-14.874806460232925
0.3277001069181864,-14.78602016438087
0.4858133629819559,-14.700395571598122
0.6439266190457245,-14.617897667920175
0.8020398751094939,-14.538491439382526
0.9601531311732634,-14.462141872020668
1.118266387237032,-14.388813951870098
1.2763796433008014,-14.318472664966315
1.43449289936457,-14.251082997344804
1.5926061554283395,-14.186609935041071
1.750719411492109,-14.125018464090605
1.9088326675558775,-14.066273570528901
2.066945923619647,-14.01034024039146
2.2250591796834165,-13.957183459713772
2.383172435747185,-13.90676821453133
2.5412856918109545,-13.859059490879638
2.699398947874724,-13.814022274794182
2.8575122039384926,-13.771621552310464
3.015625460002262,-13.731822309463977
3.1737387160660306,-13.694589532290214
3.3318519721298,-13.659888206824675
3.4899652281935696,-13.62768339264111
3.648078484257338,-13.597940827761352
3.8061917403211067,-13.570627000044261
3.964304996384876,-13.545708802481652
4.122418252448646,-13.523153210309388
4.280531508512415,-13.502926983451452
4.438644764576185,-13.484996394296981
4.596758020639954,-13.469326980810242
4.754871276703722,-13.455883324973563
4.912984532767491,-13.444628856563224
5.071097788831261,-13.435525682258321
5.22921104489503,-13.428534440082547
5.3873243009588,-13.423614179178955
5.545437557022567,-13.42072226491769
5.703550813086337,-13.41981430933663
5.861664069150106,-13.420844126915036
6.019777325213876,-13.42376371568012
6.177890581277645,-13.428523263646586
6.336003837341413,-13.435071180589114
6.494117093405182,-13.443354155147826
6.652230349468952,-13.453317237266662
6.810343605532721,-13.464903945964767
6.968456861596491,-13.478056402440792
7.1265701176602585,-13.492715488510154
