HARYANA Gradient_3
10.00
11
15
Type of measurement (0=app.resistivity,1=resistance)
1
928
2
11
Chargeability
mV/V
2 0.01 0.02 0.02 0.80 0.50
4 60.00 0.00 160.00 0.00 110.00 0.00 120.00 0.00 0.0967068 18.9983 14.2985
4 50.00 0.00 150.00 0.00 120.00 0.00 130.00 0.00 0.176434 16.8137 12.7534
4 40.00 0.00 240.00 0.00 80.00 0.00 100.00 0.00 0.13298 21.5349 16.7427
4 0.00 0.00 200.00 0.00 120.00 0.00 140.00 0.00 0.0754969 18.2617 14.1188
4 20.00 0.00 220.00 0.00 100.00 0.00 120.00 0.00 0.0593428 18.6872 14.7852
4 60.00 0.00 160.00 0.00 120.00 0.00 130.00 0.00 0.118955 18.6025 13.9342
4 80.00 0.00 180.00 0.00 100.00 0.00 110.00 0.00 0.181351 22.2196 17.016
4 50.00 0.00 150.00 0.00 130.00 0.00 140.00 0.00 0.330516 14.2488 10.6075
4 70.00 0.00 170.00 0.00 110.00 0.00 120.00 0.00 0.0935171 18.8999 14.6328
4 80.00 0.00 180.00 0.00 110.00 0.00 120.00 0.00 0.114835 20.4499 15.4573
4 70.00 0.00 170.00 0.00 120.00 0.00 130.00 0.00 0.0959549 18.8314 14.3024
4 90.00 0.00 190.00 0.00 100.00 0.00 110.00 0.00 0.577543 23.2175 17.9338
4 60.00 0.00 160.00 0.00 130.00 0.00 140.00 0.00 0.175015 16.7864 12.5337
4 60.00 0.00 260.00 0.00 80.00 0.00 100.00 0.00 0.312928 20.9791 16.0087
4 40.00 0.00 240.00 0.00 100.00 0.00 120.00 0.00 0.066533 20.1315 15.7222
4 0.00 0.00 200.00 0.00 140.00 0.00 160.00 0.00 0.117646 17.3377 13.162
4 20.00 0.00 220.00 0.00 120.00 0.00 140.00 0.00 0.0601402 16.4829 14.1503
4 90.00 0.00 190.00 0.00 110.00 0.00 120.00 0.00 0.214725 20.5759 15.8198
4 80.00 0.00 180.00 0.00 120.00 0.00 130.00 0.00 0.0956824 18.457 13.995
4 70.00 0.00 170.00 0.00 130.00 0.00 140.00 0.00 0.116738 17.7169 13.3994
4 60.00 0.00 160.00 0.00 140.00 0.00 150.00 0.00 0.396461 15.3375 11.2255
4 70.00 0.00 170.00 0.00 140.00 0.00 150.00 0.00 0.194433 17.0028 12.6488
4 90.00 0.00 190.00 0.00 120.00 0.00 130.00 0.00 0.130469 19.0471 14.7097
4 80.00 0.00 180.00 0.00 130.00 0.00 140.00 0.00 0.0974009 18.1232 13.7945
4 100.00 0.00 200.00 0.00 110.00 0.00 120.00 0.00 0.481947 20.3484 15.5528
4 40.00 0.00 240.00 0.00 120.00 0.00 140.00 0.00 0.0559354 18.61 14.8401
4 60.00 0.00 260.00 0.00 100.00 0.00 120.00 0.00 0.09387 20.5289 15.2744
4 0.00 0.00 200.00 0.00 160.00 0.00 180.00 0.00 0.262624 18.1201 13.7748
4 20.00 0.00 220.00 0.00 140.00 0.00 160.00 0.00 0.0754553 16.2028 13.2628
4 70.00 0.00 170.00 0.00 150.00 0.00 160.00 0.00 0.320843 13.7615 10.1327
4 100.00 0.00 200.00 0.00 120.00 0.00 130.00 0.00 0.210797 14.14 11.5183
4 90.00 0.00 190.00 0.00 130.00 0.00 140.00 0.00 0.103163 19.2291 14.8804
4 80.00 0.00 180.00 0.00 140.00 0.00 150.00 0.00 0.133475 17.5419 13.2715
4 80.00 0.00 180.00 0.00 150.00 0.00 160.00 0.00 0.171337 15.3327 11.433
4 110.00 0.00 210.00 0.00 120.00 0.00 130.00 0.00 0.437006 16.2258 12.2699
4 100.00 0.00 200.00 0.00 130.00 0.00 140.00 0.00 0.132402 17.4244 13.8716
4 90.00 0.00 190.00 0.00 140.00 0.00 150.00 0.00 0.110678 18.5822 13.965
4 20.00 0.00 220.00 0.00 160.00 0.00 180.00 0.00 0.115476 18.2432 14.4609
4 80.00 0.00 280.00 0.00 100.00 0.00 120.00 0.00 0.242874 21.9407 16.6605
