observation_index,A,B,M,N,value,reciprocal_group,reciprocal_pair_count,reciprocal_error_percent,reciprocal_mean_value,reciprocal_partner_value
0,2,5,3,4,434.061322,2-5|3-4,1,0.08221171425503561,434.23982,434.418318
1,2,8,4,6,189.157397,2-8|4-6,1,0.0027188627915234057,189.1599685,189.16254
2,2,11,5,8,108.616228,2-11|5-8,1,1.4299260319983065,109.398386,110.180544
3,2,14,6,10,67.4879981,2-14|6-10,1,0.16145414004906267,67.5425232,67.5970483
4,2,17,7,12,54.4777774,2-17|7-12,1,0.1836452506285744,54.5278463,54.5779152
5,2,20,8,14,34.8661281,2-20|8-14,1,0.5357773776011067,34.9597814,35.0534347
6,2,23,9,16,24.7948336,2-23|9-16,1,0.15449181041796795,24.814001400000002,24.8331692
7,2,26,10,18,20.4168594,2-26|10-18,1,0.7162005831845136,20.34400745,20.2711555
8,2,29,11,20,16.0963544,2-29|11-20,1,0.4567834903293553,16.1332013,16.1700482
9,2,32,12,22,12.2745814,2-32|12-22,1,0.17504530412089736,12.28533385,12.2960863
10,2,35,13,24,10.9741666,2-35|13-24,1,2.3134211607867465,11.10259145,11.2310163
11,2,38,14,26,9.88185492,2-38|14-26,1,0.0160763571686781,9.882649305000001,9.88344369
12,2,41,15,28,9.15067826,2-41|15-28,1,0.03112909458536936,9.14925422,9.14783018
13,2,44,16,30,8.09875892,2-44|16-30,1,0.41136420151734754,8.11545095,8.13214298
14,2,47,17,32,7.24957476,2-47|17-32,1,1.9187286908703056,7.319798295,7.39002183
15,3,6,4,5,420.959041,3-6|4-5,1,0.07808010680741048,420.79476250000005,420.630484
16,3,9,5,7,160.62388,3-9|5-7,1,0.12777041912744852,160.7265605,160.829241
17,3,12,6,9,97.2712787,3-12|6-9,1,0.14732946427081686,97.34298615,97.4146936
18,3,15,7,11,73.771863,3-15|7-11,1,0.030535436231442056,73.783128,73.794393
19,3,18,8,13,48.9316455,3-18|8-13,1,0.39911850820237743,48.83419235,48.7367392
20,3,21,9,15,31.2403657,3-21|9-15,1,0.027751924977255676,31.2360314,31.2316971
21,3,24,10,17,24.9794424,3-24|10-17,1,0.05086569782024466,24.985796999999998,24.9921516
22,3,27,11,19,18.8794026,3-27|11-19,1,0.4289144631395173,18.839001,18.7985994
23,3,30,12,21,14.0634452,3-30|12-21,1,0.04669789622556932,14.0601623,14.0568794
24,3,33,13,23,12.5965113,3-33|13-23,1,0.2650184350290572,12.57984185,12.5631724
25,3,36,14,25,11.5254056,3-36|14-25,1,0.20821268788314873,11.5134194,11.5014332
26,3,39,15,27,10.1230512,3-39|15-27,1,0.0913180925999941,10.127675400000001,10.1322996
27,3,42,16,29,8.87256691,3-42|16-29,1,0.2615366603224181,8.860979555,8.8493922
28,3,45,17,31,7.83657368,3-45|17-31,1,0.8129936201281588,7.804847225,7.77312077
29,3,48,18,33,6.98030793,3-48|18-33,1,1.2583792750139782,7.02450539,7.06870285
30,4,7,5,6,396.373334,4-7|5-6,1,0.01045962595544988,396.3526055,396.331877
31,4,10,6,8,165.077091,4-10|6-8,1,0.09374131495054988,165.15449999999998,165.231909
32,4,13,7,10,94.7022421,4-13|7-10,1,0.09058911628900775,94.74515650000001,94.7880709
33,4,16,8,12,72.2381716,4-16|8-12,1,0.13509599429593408,72.1894091,72.1406466
34,4,19,9,14,41.623572,4-19|9-14,1,0.1724944960443989,41.58770375,41.5518355
35,4,22,10,16,30.8640817,4-22|10-16,1,0.10461506936188383,30.8479459,30.8318101
36,4,25,11,18,22.6510048,4-25|11-18,1,0.16009950862121536,22.669151399999997,22.687298
37,4,28,12,20,16.3491988,4-28|12-20,1,0.11844532466466669,16.3395221,16.3298454
38,4,31,13,22,14.4061536,4-31|13-22,1,0.5315839897630003,14.3679647,14.3297758
39,4,34,14,24,12.8384781,4-34|14-24,1,0.13440602866311355,12.82985605,12.821234
40,4,37,15,26,11.47582,4-37|15-26,1,0.13381456510749745,11.4835033,11.4911866
41,4,40,16,28,9.89247051,4-40|16-28,1,0.28033854511483597,9.878623715,9.86477692
42,4,43,17,30,8.57508165,4-43|17-30,1,0.25030769889059434,8.56436302,8.55364439
43,4,46,18,32,7.61458457,4-46|18-32,1,0.12335064748157157,7.609891145,7.60519772
44,4,49,19,34,6.66377059,4-49|19-34,1,0.09412389496955162,6.660635965,6.65750134
45,5,8,6,7,333.968287,5-8|6-7,1,0.03597718318385132,334.028374,334.088461
46,5,11,7,9,170.999333,5-11|7-9,1,0.14007079989637924,171.119177,171.239021
47,5,14,8,11,92.1768445,5-14|8-11,1,0.022039524747830153,92.16668795000001,92.1565314
48,5,17,9,13,59.1003545,5-17|9-13,1,0.07036652078952522,59.12115525,59.141956
49,5,20,10,15,38.3202792,5-20|10-15,1,0.04210302239934999,38.3122139,38.3041486
50,5,23,11,17,27.5815236,5-23|11-17,1,0.023154410781096098,27.5783308,27.575138
51,5,26,12,19,19.1095315,5-26|12-19,1,0.009641320507187825,19.11045275,19.111374
52,5,29,13,21,16.2513422,5-29|13-21,1,0.16954931301833867,16.23757685,16.2238115
53,5,32,14,23,14.6279924,5-32|14-23,1,0.024467047090306546,14.6262031,14.6244138
54,5,35,15,25,13.1912646,5-35|15-25,1,0.321148630346695,13.212480450000001,13.2336963
55,5,38,16,27,10.9928925,5-38|16-27,1,0.05010127533049526,10.9901394,10.9873863
56,5,41,17,29,9.34728497,5-41|17-29,1,0.3366032416181166,9.331579770000001,9.31587457
57,5,44,18,31,8.19782455,5-44|18-31,1,0.19898026181284922,8.189676630000001,8.18152871
