observation_index,A,B,M,N,value,reciprocal_group,reciprocal_pair_count,reciprocal_error_percent,reciprocal_mean_value,reciprocal_partner_value
58,5,47,19,33,7.16949149,5-47|19-33,1,0.16400499583091716,7.163617145,7.1577428
59,5,50,20,35,6.40100337,5-50|20-35,1,0.03488952267699877,6.399886925,6.39877048
60,6,9,7,8,339.990037,6-9|7-8,1,0.05633695404084639,340.085834,340.181631
61,6,12,8,10,129.618545,6-12|8-10,1,0.023022604097197794,129.6334675,129.64839
62,6,15,9,12,91.3387116,6-15|9-12,1,0.06213129489369715,91.31034545,91.2819793
63,6,18,10,14,53.3675748,6-18|10-14,1,0.14292153146960646,53.40573895,53.4439031
64,6,21,11,16,33.9466714,6-21|11-16,1,0.14286442901600224,33.92243985,33.8982083
65,6,24,12,18,22.9583019,6-24|12-18,1,0.2574789748921956,22.987896399999997,23.0174909
66,6,27,13,20,18.7832753,6-27|13-20,1,0.377293830269735,18.74790795,18.7125406
67,6,30,14,22,16.4028507,6-30|14-22,1,0.037158371483559764,16.399803749999997,16.3967568
68,6,33,15,24,14.4745877,6-33|15-24,1,0.11075806550980695,14.46657625,14.4585648
69,6,36,16,26,12.4429762,6-36|16-26,1,0.1265230603320514,12.4508528,12.4587294
70,6,39,17,28,10.2747206,6-39|17-28,1,0.32796382924204853,10.2578995,10.2410784
71,6,42,18,30,8.801843,6-42|18-30,1,0.08777467577848892,8.797981799999999,8.7941206
72,6,45,19,32,7.64345597,6-45|19-32,1,0.0807215844591933,7.646542175,7.64962838
73,6,48,20,34,6.84183896,6-48|20-34,1,0.1591129797176722,6.83640016,6.83096136
74,6,51,21,36,6.26614005,6-51|21-36,1,0.3155907134424159,6.276043355,6.28594666
75,7,10,8,9,369.234233,7-10|8-9,1,0.021551204449788447,369.2740245,369.313816
76,7,13,9,11,120.558615,7-13|9-11,1,0.20977512456553304,120.4322965,120.305978
77,7,16,10,13,79.9538517,7-16|10-13,1,0.048813123393865995,79.97337045,79.9928892
78,7,19,11,15,42.0470353,7-19|11-15,1,0.10448308299800346,42.02508075,42.0031262
79,7,22,12,17,27.5793858,7-22|12-17,1,0.5432983812091864,27.65450905,27.7296323
80,7,25,13,19,22.039913,7-25|13-19,1,0.38062012637165593,21.9980485,21.956184
81,7,28,14,21,18.2802645,7-28|14-21,1,0.1486958475593336,18.2666836,18.2531027
82,7,31,15,23,16.5851888,7-31|15-23,1,0.2811584574727265,16.561906200000003,16.5386236
83,7,34,16,25,13.8189194,7-34|16-25,1,0.18891010058500854,13.805879050000001,13.7928387
84,7,37,17,27,11.483726,7-37|17-27,1,0.3074008787755054,11.46610255,11.4484791
85,7,40,18,29,9.50126385,7-40|18-29,1,0.5240860960709105,9.47643152,9.45159919
86,7,43,19,31,8.11141605,7-43|19-31,1,0.2126502991190767,8.102800735,8.09418542
87,7,46,20,33,7.26403795,7-46|20-33,1,0.4319889689806953,7.248381845,7.23272574
88,7,49,21,35,6.59030368,7-49|21-35,1,0.09402179138298358,6.587206975,6.58411027
89,7,52,22,37,6.26490536,7-52|22-37,1,0.18749463735454464,6.2590376800000005,6.25317
90,8,11,9,10,255.933677,8-11|9-10,1,0.06134707523026545,256.012205,256.090733
91,8,14,10,12,147.050961,8-14|10-12,1,0.020044720340323934,147.0362245,147.021488
92,8,17,11,14,66.2938411,8-17|11-14,1,0.13497298037326,66.3386107,66.3833803
93,8,20,12,16,34.6261578,8-20|12-16,1,0.01679882754737128,34.623249650000005,34.6203415
94,8,23,13,18,28.0333039,8-23|13-18,1,0.5331320940586171,28.108230900000002,28.1831579
95,8,26,14,20,22.3414795,8-26|14-20,1,0.045239229983149,22.3465342,22.3515889
96,8,29,15,22,18.9179213,8-29|15-22,1,0.09548046467857191,18.908894150000002,18.899867
97,8,32,16,24,15.6468317,8-32|16-24,1,0.07678302457019104,15.640826950000001,15.6348222
98,8,35,17,26,13.1302053,8-35|17-26,1,0.3349110973949024,13.108254800000001,13.0863043
99,8,38,18,28,10.6910323,8-38|18-28,1,0.20546948722892133,10.702027000000001,10.7130217
100,8,41,19,30,8.79424753,8-41|19-30,1,0.1758573027861813,8.78652166,8.77879579
101,8,44,20,32,7.83673825,8-44|20-32,1,0.22704645423397915,7.827851819999999,7.81896539
102,8,47,21,34,7.06224407,8-47|21-34,1,0.0468222837271893,7.060591105,7.05893814
103,8,50,22,36,6.40728563,8-50|22-36,1,0.012927214133460945,6.406871515,6.4064574
104,8,53,23,38,6.10974394,8-53|23-38,1,0.00407324650425353,6.109868375,6.10999281
105,9,12,10,11,340.102379,9-12|10-11,1,0.0015845103234064233,340.1050735,340.107768
106,9,15,11,13,130.543917,9-15|11-13,1,0.11425362443652283,130.469384,130.394851
107,9,18,12,15,50.132182,9-18|12-15,1,0.1579554444008722,50.17180655,50.2114311
108,9,21,13,17,39.9603907,9-21|13-17,1,0.19002862537366272,39.998394899999994,40.0363991
109,9,24,14,19,30.4955288,9-24|14-19,1,0.09437932906249842,30.48114485,30.4667609
110,9,27,15,21,23.8028126,9-27|15-21,1,0.5746023496413024,23.73462275,23.6664329
111,9,30,16,23,19.3073639,9-30|16-23,1,0.1454481711376655,19.293332999999997,19.2793021
112,9,33,17,25,15.2716203,9-33|17-25,1,0.4335546476046202,15.2385865,15.2055527
113,9,36,18,27,12.6651792,9-36|18-27,1,1.3952406016728522,12.57743645,12.4896937
114,9,39,19,29,9.77817757,9-39|19-29,1,0.3244809431356023,9.762339105,9.74650064
115,9,42,20,31,8.47203396,9-42|20-31,1,0.2739131926840622,8.46044682,8.44885968
116,9,45,21,33,7.68373841,9-45|21-33,1,0.5578928004328357,7.662364520000001,7.64099063
117,9,48,22,35,6.81944288,9-48|22-35,1,0.2877711043484417,6.809644785,6.79984669
118,9,51,23,37,6.35174647,9-51|23-37,1,0.030905410097037456,6.350765105000001,6.34978374
119,9,54,24,39,6.07254561,9-54|24-39,1,0.4175401166419445,6.059894365,6.04724312
120,10,13,11,12,373.439533,10-13|11-12,1,0.10865278409515094,373.6425195,373.845506
121,10,16,12,14,82.1191941,10-16|12-14,1,0.025854558383638388,82.12981125,82.1404284
122,10,19,13,16,51.3436579,10-19|13-16,1,0.02583223208708669,51.33702715,51.3303964
123,10,22,14,18,39.6438135,10-22|14-18,1,0.13661269250526412,39.67091125,39.698009
124,10,25,15,20,29.9059152,10-25|15-20,1,0.09711187459674467,29.89140115,29.8768871
125,10,28,16,22,22.3368285,10-28|16-22,1,0.3838447190457221,22.29404125,22.251254
126,10,31,17,24,17.7876542,10-31|17-24,1,0.6472878975272208,17.73027125,17.6728883
127,10,34,18,26,14.2277314,10-34|18-26,1,0.8534342788182288,14.167277200000001,14.106823
128,10,37,19,28,11.2307027,10-37|19-28,1,0.005112900719371929,11.2304156,11.2301285
129,10,40,20,30,9.23380864,10-40|20-30,1,0.3287250109502796,9.218656625,9.20350461
130,10,43,21,32,8.28777441,10-43|21-32,1,0.3259383031501245,8.27428987,8.26080533
131,10,46,22,34,7.31082577,10-46|22-34,1,0.1967102094916194,7.303642265000001,7.29645876
132,10,49,23,36,6.49760452,10-49|23-36,1,0.06327224431717085,6.4955495800000005,6.49349464
133,10,52,24,38,6.42350746,10-52|24-38,1,0.2387008693391119,6.415850115,6.40819277
134,10,55,25,40,5.94526425,10-55|25-40,1,0.01046803886554691,5.94495309,5.94464193
135,11,14,12,13,210.275122,11-14|12-13,1,0.05744107956386015,210.3355315,210.395941
136,11,17,13,15,84.2078264,11-17|13-15,1,0.049528494953938414,84.228685,84.2495436
137,11,20,14,17,60.8827571,11-20|14-17,1,0.07282234393318196,60.904933299999996,60.9271095
138,11,23,15,19,43.7027086,11-23|15-19,1,0.1333639049774305,43.6735862,43.6444638
139,11,26,16,21,29.2509703,11-26|16-21,1,0.04409547937973481,29.2574209,29.2638715
140,11,29,17,23,22.1571623,11-29|17-23,1,0.18137391009061535,22.13708685,22.1170114
141,11,32,18,25,17.4108525,11-32|18-25,1,0.042299721037910624,17.414535649999998,17.4182188
142,11,35,19,27,13.4947733,11-35|19-27,1,0.3989163738462569,13.46791045,13.4410476
143,11,38,20,29,10.5610221,11-38|20-29,1,0.33467733795152066,10.543378950000001,10.5257358
144,11,41,21,31,9.1146792,11-41|21-31,1,0.19232471567436185,9.10592273,9.09716626
145,11,44,22,33,8.07099482,11-44|22-33,1,0.3584019650358178,8.05655739,8.04211996
146,11,47,23,35,6.9817795,11-47|23-35,1,1.1560037420721774,6.9416565949999995,6.90153369
147,11,50,24,37,6.78679144,11-50|24-37,1,0.28044816539854434,6.77728805,6.76778466
148,11,53,25,39,6.14945343,11-53|25-39,1,0.5221585029891957,6.13344029,6.11742715
149,11,56,26,41,5.87815853,11-56|26-41,1,0.5124488210190742,5.863135745,5.84811296
150,12,15,13,14,297.259981,12-15|13-14,1,0.03165549010649068,297.307038,297.354095
151,12,18,14,16,103.081959,12-18|14-16,1,0.07555499252719032,103.1209155,103.159872
152,12,21,15,18,69.7287093,12-21|15-18,1,0.05356114550586216,69.74738805000001,69.7660668
153,12,24,16,20,44.0953227,12-24|16-20,1,0.04246963473322741,44.104688249999995,44.1140538
154,12,27,17,22,28.6854995,12-27|17-22,1,0.5082714040809682,28.6127842,28.5400689
155,12,30,18,24,21.7104337,12-30|18-24,1,0.3846648771762835,21.66875765,21.6270816
156,12,33,19,26,15.9659609,12-33|19-26,1,0.047521704535549374,15.969755450000001,15.97355
157,12,36,20,28,13.133796,12-36|20-28,1,0.19448310521861645,13.1210369,13.1082778
158,12,39,21,30,10.3416026,12-39|21-30,1,0.16877961848923348,10.332882699999999,10.3241628
159,12,42,22,32,8.92579072,12-42|22-32,1,0.19994748867312492,8.916876185,8.90796165
160,12,45,23,34,7.65161166,12-45|23-34,1,0.2463402301292287,7.642198755000001,7.63278585
161,12,48,24,36,7.02376431,12-48|24-36,1,0.05000663218357585,7.022008575,7.02025284
162,12,51,25,38,6.58313649,12-51|25-38,1,0.10084913214200628,6.579818645,6.5765008
163,12,54,26,40,6.26902931,12-54|26-40,1,0.523963404010401,6.252648515,6.23626772
164,13,16,14,15,185.633897,13-16|14-15,1,0.029599586962018722,185.6613745,185.688852
165,13,19,15,17,108.124021,13-19|15-17,1,0.036557809328088005,108.1437885,108.163556
166,13,22,16,19,60.0358011,13-22|16-19,1,0.04492712197896383,60.02231795,60.0088348
167,13,25,17,21,35.7044684,13-25|17-21,1,0.17939239200263543,35.67247155,35.6404747
168,13,28,18,23,25.6979151,13-28|18-23,1,0.8205729361183655,25.59291085,25.4879066
169,13,31,19,25,18.8557761,13-31|19-25,1,0.05076783588065928,18.86056365,18.8653512
170,13,34,20,27,14.3902894,13-34|20-27,1,0.1387910267080096,14.40028255,14.4102757
171,13,37,21,29,11.584584,13-37|21-29,1,0.2216620672938442,11.571758899999999,11.5589338
172,13,40,22,31,9.3371193,13-40|22-31,1,0.2670507804111186,9.3246685,9.3122177
173,13,43,23,33,8.03928765,13-43|23-33,1,0.4733090505312253,8.02030723,8.00132681
174,13,46,24,35,7.21606486,13-46|24-35,1,0.5833707537066689,7.19507787,7.17409088
175,13,49,25,37,6.74418542,13-49|25-37,1,0.5188143419847487,6.726735785,6.70928615
176,13,52,26,39,6.41492048,13-52|26-39,1,0.7436420569192419,6.391156815,6.36739315
177,13,55,27,41,6.04877266,13-55|27-41,1,0.10132970974767604,6.045709609999999,6.04264656
178,14,17,15,16,219.088933,14-17|15-16,1,0.0196886956167473,219.110503,219.132073
179,14,20,16,18,93.284138,14-20|16-18,1,0.07607562994667652,93.31963475,93.3551315
180,14,23,17,20,49.9268973,14-23|17-20,1,0.091790649612876,49.9039937,49.8810901
181,14,26,18,22,31.168284,14-26|18-22,1,0.14077599762722326,31.146360700000002,31.1244374
182,14,29,19,24,21.1014271,14-29|19-24,1,0.006206022733721716,21.1020819,21.1027367
183,14,32,20,26,16.463986,14-32|20-26,1,0.06031895306374078,16.46895295,16.4739199
184,14,35,21,28,13.4192321,14-35|21-28,1,0.1146345608070725,13.42692805,13.434624
185,14,38,22,30,10.0412505,14-38|22-30,1,0.032047956292861474,10.039641750000001,10.038033
186,14,41,23,32,8.38114379,14-41|23-32,1,0.20467513252044078,8.3725755,8.36400721
187,14,44,24,34,7.59673667,14-44|24-34,1,0.13910953806499005,7.591456450000001,7.58617623
188,14,47,25,36,6.56509746,14-47|25-36,1,0.08975713435344278,6.56215246,6.55920746
189,14,50,26,38,6.63725049,14-50|26-38,1,0.25157264772803356,6.628912225,6.62057396
190,14,53,27,40,6.19849935,14-53|27-40,1,0.6142127527089433,6.1795216449999995,6.16054394
191,14,56,28,42,5.85252225,14-56|28-42,1,0.3376106360248619,5.84265953,5.83279681
192,15,18,16,17,270.920732,15-18|16-17,1,0.1769968845596713,271.160705,271.400678
193,15,21,17,19,89.751664,15-21|17-19,1,0.019583838512011446,89.74287645000001,89.7340889
194,15,24,18,21,47.4924641,15-24|18-21,1,0.029866460141316525,47.485372999999996,47.4782819
195,15,27,19,23,28.0336903,15-27|19-23,1,0.03924334652111719,28.0281907,28.0226911
196,15,30,20,25,20.2879413,15-30|20-25,1,0.020424561882162504,20.285869650000002,20.283798
197,15,33,21,27,15.0817979,15-33|21-27,1,0.08684515075510404,15.08834965,15.0949014
198,15,36,22,29,11.9438869,15-36|22-29,1,0.057514141285509766,11.9473226,11.9507583
199,15,39,23,31,8.8019016,15-39|23-31,1,0.1832918906984465,8.793842399999999,8.7857832
200,15,42,24,33,7.96654771,15-42|24-33,1,0.3165659179779799,7.95395795,7.94136819
201,15,45,25,35,6.69939614,15-45|25-35,1,0.7570196699514326,6.72485036,6.75030458
202,15,48,26,37,6.77329054,15-48|26-37,1,0.20566325662787666,6.766332609999999,6.75937468
203,15,51,27,39,6.35995499,15-51|27-39,1,0.38628731681843004,6.34769482,6.33543465
204,15,54,28,41,5.98420569,15-54|28-41,1,0.4086523176877109,5.972003324999999,5.95980096
205,16,19,17,18,226.196914,16-19|17-18,1,0.0639191715172796,226.12464549999999,226.052377
206,16,22,18,20,94.6856794,16-22|18-20,1,0.09328885098887477,94.6415344,94.5973894
207,16,25,19,22,43.3554052,16-25|19-22,1,0.045458275136543,43.36526175,43.3751183
208,16,28,20,24,25.7564739,16-28|20-24,1,0.024879947091148477,25.7532702,25.7500665
209,16,31,21,26,19.7078286,16-31|21-26,1,0.03882068814853251,19.7116547,19.7154808
210,16,34,22,28,14.2180774,16-34|22-28,1,0.03914938155204135,14.2152948,14.2125122
211,16,37,23,30,10.4737236,16-37|23-30,1,0.047907487128683195,10.47623305,10.4787425
212,16,40,24,32,8.65900582,16-40|24-32,1,0.3135514542250385,8.64545185,8.63189788
213,16,43,25,34,7.20951703,16-43|25-34,1,0.31232297432459094,7.198276095,7.18703516
214,16,46,26,36,6.72429363,16-46|26-36,1,0.06411992240834907,6.722138515,6.7199834
215,16,49,27,38,6.74501321,16-49|27-38,1,0.5435361399333792,6.7267320999999995,6.70845099
216,16,52,28,40,6.32087089,16-52|28-40,1,0.5003052672363347,6.30509852,6.28932615
217,16,55,29,42,6.08749119,16-55|29-42,1,0.09365350861760013,6.0903431,6.09319501
218,17,20,18,19,293.921743,17-20|18-19,1,0.12914285874586323,293.732076,293.542409
219,17,23,19,21,89.3328315,17-23|19-21,1,0.1268874694215991,89.27619135,89.2195512
220,17,26,20,23,47.6517733,17-26|20-23,1,0.0804887763867215,47.63260385,47.6134344
221,17,29,21,25,28.4185156,17-29|21-25,1,0.06678686589456491,28.40902885,28.3995421
222,17,32,22,27,19.3103527,17-32|22-27,1,0.08785879779056231,19.318839349999998,19.327326
223,17,35,23,29,13.5200304,17-35|23-29,1,0.09700390856501323,13.5134761,13.5069218
224,17,38,24,31,10.0587956,17-38|24-31,1,0.35799656137738955,10.0408227,10.0228498
225,17,41,25,33,7.93446816,17-41|25-33,1,1.165689301712998,7.888490515,7.84251287
