72
# x	 y
0 -8.727
0.953939201	-8.427
1.9538787	-8.438
2.948350921	-8.333
3.941245176	-8.214
4.924543706	-8.032
5.918475293	-7.922
6.916961648	-7.867
7.914911546	-7.803
8.908953296	-7.694
9.882143925	-7.464
10.87954856	-7.392
11.87853554	-7.347
12.87352298	-7.247
13.85569201	-7.059
14.8484659	-6.939
15.84722511	-6.8892
16.84598432	-6.8394
17.84474353	-6.7896
18.84350274	-6.7398
19.84226195	-6.69
20.83744837	-6.592
21.82973058	-6.468
22.82274418	-6.586
23.82022049	-6.515
24.81982842	-6.487
25.81723305	-6.415
26.81722505	-6.411
27.81711254	-6.426
28.81674798	-6.399
29.80940048	-6.278
30.80438792	-6.378
31.80005403	-6.285
32.78105556	-6.091
33.77573692	-5.988
34.77497613	-5.949
35.77471159	-5.926
36.76100516	-5.761
37.7521212	-5.628
38.74489509	-5.508
39.74144463	-5.425
40.72872322	-5.266
41.71238983	-5.086
42.70643158	-4.977
43.67467741	-4.727
44.66792663	-4.611
45.64751787	-4.41
46.63863391	-4.277
47.62302407	-4.101
48.62289606	-4.117
49.61492631	-3.991
50.60464899	-3.848
51.58037385	-3.629
52.57066623	-3.49
53.55245032	-3.3
54.54052117	-3.146
55.53216577	-3.017
56.49804309	-2.758
57.45745749	-2.476
58.43621946	-2.271
59.40674458	-2.03
60.38040571	-1.802
61.37055722	-1.662
62.32481033	-1.363
63.30810886	-1.181
64.29177547	-1.001
65.27470171	-0.817
66.26759597	-0.698
67.24899089	-0.506
68.24417731	-0.408
69.24011907	-0.318
70.18820978	0
936
# a	b	m	n	rhoa	err	u 	i
23	28	25	26	228.21	0.91	15.664	1.294
23	26	24	25	279.66	0.1	16.963	0.381
24	61	42	43	199.89	3.3	8.171	43.922
24	59	41	42	186.89	0.37	6.762	34.785
24	57	40	41	263.87	1.86	10.516	34.055
24	55	39	40	199.32	0.07	15.626	59.11
24	53	38	39	201.77	1.81	16.858	55.122
24	51	37	38	282.73	2.72	15.502	31.349
24	49	36	37	284.58	2.11	9.895	17.041
24	47	35	36	328	0.31	14.986	18.947
24	45	34	35	175.79	0.65	14.9	29.291
24	43	33	34	117.92	0.16	7.746	18.573
24	41	32	33	113.34	0.05	9.876	19.711
24	39	31	32	117.75	0.12	15.378	22.976
24	37	30	31	116.9	0.52	15.043	16.98
24	35	29	30	203.4	2.18	15.502	7.183
24	33	28	29	174.58	0.97	15.33	5.517
24	31	27	28	200.25	1.11	15.244	2.87
24	29	26	27	250.89	0.16	14.107	1.06
24	27	25	26	346.13	0.58	17.393	0.316
25	62	43	44	218.06	4.76	2.679	13.201
25	60	42	43	266.33	4.59	2.45	8.843
25	58	41	42	183.8	4.55	2.488	11.568
25	56	40	41	220.18	1.85	3.19	10.924
25	54	39	40	181.63	1.3	3.553	12.906
25	52	38	39	192.08	2.43	4.461	13.278
25	50	37	38	232.14	5.77	5.874	12.401
25	48	36	37	206.23	2.09	5.674	11.408
25	46	35	36	326.53	0.55	10.908	11.544
25	44	34	35	148.2	0.28	5.311	10.131
25	42	33	34	113.84	0.83	6.485	12.886
25	40	32	33	113.41	0.44	7.269	11.275
25	38	31	32	117.28	0.72	9.389	10.563
25	36	30	31	111.13	0.25	12.627	10.709
25	34	29	30	189.53	2.28	14.996	4.971
25	32	28	29	165.05	0.61	16.142	3.687
25	30	27	28	195.07	1.4	15.521	1.5
25	28	26	27	325.07	0.76	16.256	0.314
26	63	44	45	242.94	2.07	6.38	28.217
26	61	43	44	244.74	1.56	7.431	29.188
26	59	42	43	298.41	3.27	8.74	25.026
26	57	41	42	166.99	2.46	5.368	24.236
26	55	40	41	224.74	1.52	12.551	36.842
26	53	39	40	171.21	0.06	12.56	41.945
26	51	38	39	186.57	0.91	11.395	29.933
26	49	37	38	239.33	4.05	8.186	14.183
26	47	36	37	209.96	1.19	14.27	23.486
26	45	35	36	300.68	0.41	15.254	14.343
26	43	34	35	187.79	0.32	12.713	15.313
26	41	33	34	118.82	0.13	10.831	16.037
26	39	32	33	117.36	0.18	15.569	17.504
26	37	31	32	121.98	0.05	15.129	11.689
26	35	30	31	118.83	0.73	15.483	8.186
26	33	29	30	187.85	2.16	15.454	3.101
26	31	28	29	179.49	0.94	15.416	1.619
26	29	27	28	308.03	2.1	15.292	0.312
27	64	45	46	220.31	1.67	6.399	31.209
27	62	44	45	242.63	0.31	9.284	36.785
27	60	43	44	208.59	5.17	3.725	15.26
27	58	42	43	226.25	1.16	8.147	27.151
27	56	41	42	172.71	2.31	6.218	23.752
27	54	40	41	217.41	0.21	13.83	36.372
27	52	39	40	171.49	0.56	14.155	40.452
27	50	38	39	228.8	0.71	16.457	29.827
27	48	37	38	287	2.71	16.925	20.379
27	46	36	37	219.29	0.76	16.333	21.059
27	44	35	36	299.51	0.53	15.636	11.808
27	42	34	35	184.74	0.14	16.448	15.663
27	40	33	34	127.67	0.18	16.056	16.593
27	38	32	33	125.66	0.25	15.483	11.613
27	36	31	32	127.15	0.5	15.836	7.826
27	34	30	31	131.8	0.35	15.387	4.401
27	32	29	30	211.1	2.34	15.368	1.372
27	30	28	29	228.33	1.81	16.572	0.456
28	65	46	47	307	1.4	9.723	34.029
28	63	45	46	215.55	0.43	7.441	33.183
28	61	44	45	237.44	1.44	9.618	34.615
28	59	43	44	157.09	1.74	5.979	28.699
28	57	42	43	187.22	3.6	7.856	27.684
28	55	41	42	178.78	0.54	14.318	45.791
28	53	40	41	218.59	1.04	16.295	36.534
28	51	39	40	198.53	0.08	16.151	33.737
28	49	38	39	258.71	1.47	11.252	15.029
28	47	37	38	292.12	2.6	15.683	15.18
28	45	36	37	220.66	0.92	16.218	16.625
28	43	35	36	308.73	0.56	15.024	8.562
28	41	34	35	188.67	0.45	15.98	11.175
28	39	33	34	131.6	0.24	15.664	11.218
28	37	32	33	134.71	0.42	15.043	7.017
28	35	31	32	139.91	0.41	15.349	4.136
28	33	30	31	145.96	0.27	15.063	1.945
28	31	29	30	214.98	1.93	16.858	0.493
29	66	47	48	230.26	1.46	4.289	20.011
29	64	46	47	234.06	0.3	7.259	29.815
29	62	45	46	177.22	1.87	7.488	36.107
29	60	44	45	200.78	0.96	3.792	14.24
29	58	43	44	193.98	2.28	7.517	25.566
29	56	42	43	162.22	0.82	6.399	22.556
29	54	41	42	176.25	1.34	12.77	35.51
29	52	40	41	212.93	0.37	20.688	40.291
29	50	39	40	217.47	0.34	16.533	26.273
29	48	38	39	267.01	0.74	15.521	16.436
29	46	37	38	283.12	2.74	16.82	13.438
29	44	36	37	220.46	0.54	16.171	12.904
29	42	35	36	289.26	0.37	14.165	6.461
29	40	34	35	196.57	0.29	15.359	7.364
29	38	33	34	138.55	0.18	14.031	6.363
29	36	32	33	139.25	0.41	14.193	3.843
29	34	31	32	157.68	1.41	13.42	1.604
29	32	30	31	199.55	0.38	15.54	0.489
30	67	48	49	324.88	1.47	16.065	53.13
30	65	47	48	212.18	0.14	9.733	44.098
30	63	46	47	204.81	1.26	10.249	42.759
30	61	45	46	174	0.5	10.535	45.652
30	59	44	45	213.94	1.39	11.71	36.11
30	57	43	44	223.4	0.42	13.506	34.567
30	55	42	43	161.53	1.35	15.683	47.584
30	53	41	42	165.8	1.15	16.82	42.069
30	51	40	41	252.87	0.72	15.779	21.564
30	49	39	40	252.58	0.23	15.244	17.064
30	47	38	39	269.67	0.81	15.483	12.987
30	45	37	38	279.27	2.82	15.416	9.711
30	43	36	37	227.46	0.33	15.626	9.065
30	41	35	36	282.32	0.41	15.005	5.009
30	39	34	35	199.61	0.42	15.454	4.865
30	37	33	34	148.15	0.16	14.814	3.77
30	35	32	33	163.17	0.43	15.12	1.747
30	33	31	32	181.17	0.59	16.725	0.58
31	68	49	50	376.16	1.09	16.81	48.016
31	66	48	49	286.49	0.24	9.131	30.64
31	64	47	48	237.03	0.4	15.846	57.126
31	62	46	47	205.89	0.11	15.359	56.244
31	60	45	46	181.4	2.36	5.377	19.558
31	58	44	45	202.67	0.3	16.849	47.532
31	56	43	44	221.14	1.94	16.524	36.62
31	54	42	43	149.8	0.65	15.75	43.601
31	52	41	42	158.54	0.95	16.333	35.602
31	50	40	41	260.92	0.34	15.617	16.923
31	48	39	40	243.13	0.44	15.645	14.555
31	46	38	39	257.06	0.82	15.569	10.655
31	44	37	38	267.53	2.78	15.237	7.515
31	42	36	37	211.41	0.42	15.473	6.898
31	40	35	36	288.86	0.4	15.196	3.305
31	38	34	35	205.29	0.37	14.117	2.592
31	36	33	34	155.38	0.13	15.234	1.848
31	34	32	33	227.02	0.56	17.995	0.498
32	69	50	51	294.26	0.28	17.479	63.82
32	67	49	50	370.4	0.3	15.473	40.159
32	65	48	49	247.76	1.58	14.127	48.721
32	63	47	48	241.4	0.22	14.967	46.749
32	61	46	47	200.54	1.01	15.359	50.528
32	59	45	46	174.53	0.41	11.977	39.239
32	57	44	45	190.81	0.46	14.489	37.216
32	55	43	44	210.8	2.66	16.266	31.998
32	53	42	43	139.29	1.04	15.894	39.431
32	51	41	42	179.13	0.63	15.874	25.056
32	49	40	41	310.72	0.91	15.101	10.993
32	47	39	40	240.8	0.15	15.282	11.165
32	45	38	39	246.42	1.62	15.569	8.336
32	43	37	38	271.28	2.9	15.053	5.23
32	41	36	37	207.52	0.69	15.683	4.749
32	39	35	36	289.62	0.32	15.34	1.997
32	37	34	35	231.43	0.37	15.12	1.231
32	35	33	34	234.63	0.99	16.734	0.448
33	70	51	52	316.94	0.58	16.419	55.659
33	68	50	51	279.49	0.08	15.531	53.419
33	66	49	50	382.71	1.6	14.06	31.392
33	64	48	49	223.76	0.73	15.387	51.849
33	62	47	48	230.17	0.24	15.903	45.584
33	60	46	47	197.15	0.58	6.81	19.75
33	58	45	46	167.66	0.93	17.212	50.311
33	56	44	45	180.83	0.04	15.511	35.572
33	54	43	44	196.68	2.25	15.951	28.026
33	52	42	43	133.95	0.71	15.722	33.185
33	50	41	42	196.25	1	15.989	18.429
33	48	40	41	292.52	0.38	15.378	9.249
33	46	39	40	233.77	0.11	15.626	8.82
33	44	38	39	250.11	2.39	15.445	5.82
33	42	37	38	255.67	2.76	15.352	3.773
33	40	36	37	238.84	0.62	15.502	2.447
33	38	35	36	313.81	0.88	13.821	0.83
33	36	34	35	277.04	0.31	17.097	0.388
34	71	52	53	79.12	3	2.889	39.234
34	69	51	52	308	0.3	15.234	47.55
34	67	50	51	266.21	0.15	16.199	51.997
34	65	49	50	378.63	0.4	15.655	31.174
34	63	48	49	215.79	1.55	14.757	45.116
34	61	47	48	220.44	0.16	15.731	40.802
34	59	46	47	185.2	1.15	14.528	38.445
34	57	45	46	158.18	0.34	13.802	36.184
34	55	44	45	175.11	0.95	15.941	31.459
34	53	43	44	179.41	0.77	15.769	24.853
34	51	42	43	164.41	0.77	15.072	20.736
34	49	41	42	231.16	1.47	16.744	12.743
34	47	40	41	299.23	0.54	15.349	6.768
34	45	39	40	234.5	0.15	15.359	6.173
34	43	38	39	280.71	0.15	15.626	3.498
34	41	37	38	265.2	2.98	15.34	2.181
34	39	36	37	269.36	0.89	15.913	1.114
34	37	35	36	368.23	2.28	17.947	0.306
35	70	52	53	92.33	0.27	2.904	30.232
35	68	51	52	301.17	1.21	10.43	29.594
35	66	50	51	262.24	0.33	6.619	19.031
35	64	49	50	377.03	1.3	15.788	27.627
35	62	48	49	197.05	0.23	11.041	32.039
35	60	47	48	222.72	0.62	6.38	14.04
35	58	46	47	180.75	0.27	10.325	23.689
35	56	45	46	159.67	1.29	9.742	21.086
35	54	44	45	172.23	0.17	17.097	28.068
35	52	43	44	192.73	1.62	16.734	19.64
35	50	42	43	185.49	0.61	16.218	15.382
35	48	41	42	248.72	1.14	15.913	8.442
35	46	40	41	311.44	0.25	15.54	4.703
35	44	39	40	266.87	0.05	15.473	3.643
35	42	38	39	306.33	1.38	15.091	1.857
35	40	37	38	336.77	2.9	15.645	0.876
35	38	36	37	358.34	1.64	15.292	0.268
36	71	53	54	71.8	1.3	1.805	24.168
36	69	52	53	96.96	2.73	3.496	30.809
36	67	51	52	308.12	0.91	13.114	32.091
36	65	50	51	269.99	0.28	11.156	27.26
36	63	49	50	407.38	1	14.384	20.189
36	61	48	49	196.81	2.24	11.146	27.757
36	59	47	48	241.68	0.26	13.993	24.01
36	57	46	47	183.48	1.27	12.044	22.685
36	55	45	46	174.59	0.2	16.562	26.822
36	53	44	45	184.47	0.94	16.314	20.004
36	51	43	44	266.97	1.29	15.492	10.209
36	49	42	43	253.22	1.9	14.442	7.525
36	47	41	42	282.79	1.31	15.426	5.141
36	45	40	41	357.33	0.57	15.636	2.749
36	43	39	40	340.86	0.26	15.311	1.693
36	41	38	39	373.07	0.38	15.588	0.788
36	39	37	38	395.25	2.95	18.291	0.291
37	70	53	54	68.24	2.77	3.072	38.465
37	68	52	53	98	0.59	4.757	36.596
37	66	51	52	312.36	1.12	10.105	21.344
37	64	50	51	267.64	0.13	15.502	33.118
37	62	49	50	434.89	0.94	15.33	17.276
37	60	48	49	183.57	0.54	6.6	14.909
37	58	47	48	235.28	0.22	16.763	24.62
37	56	46	47	190.74	0.14	15.913	23.588
37	54	45	46	175.98	0.65	16.572	21.3
37	52	44	45	199.11	0.22	15.941	14.086
37	50	43	44	314.17	1.51	15.445	6.487
37	48	42	43	257.24	0.69	15.473	5.669
37	46	41	42	291.41	1.22	15.196	3.277
37	44	40	41	397.31	0.96	15.187	1.441
37	42	39	40	366.86	0.4	15.569	0.8
37	40	38	39	579.67	0.61	18.778	0.204
38	71	54	55	172.12	1.38	4.785	23.757
38	69	53	54	74.02	0.95	3.028	30.842
38	67	52	53	99.99	1.96	4.957	32.708
38	65	51	52	329.01	0.72	15.779	27.422
38	63	50	51	259.69	0.17	13.993	26.407
38	61	49	50	406.99	0.35	16.123	16.428
38	59	48	49	213.55	1.6	14.728	23.834
38	57	47	48	238.07	0.05	17.288	20.532
38	55	46	47	201.28	0.57	17.049	19.159
38	53	45	46	179.96	0.2	16.132	15.771
38	51	44	45	265.44	0.41	15.884	7.896
38	49	43	44	395.82	1.55	15.464	3.682
38	47	42	43	276.85	1.85	15.569	3.533
38	45	41	42	310.06	1.57	14.996	1.823
38	43	40	41	468.84	0.45	14.881	0.598
38	41	39	40	387.24	0.88	15.177	0.246
39	70	54	55	173.34	0.38	9.762	42.461
39	68	53	54	80.05	1.65	4.852	39.987
39	66	52	53	102.48	0.45	4.126	23.022
39	64	51	52	318.59	0.72	15.903	24.464
39	62	50	51	269.81	0.28	15.808	24.296
39	60	49	50	418.06	1.09	15.292	12.64
39	58	48	49	222.56	0.66	15.11	19.197
39	56	47	48	245.76	0.18	15.492	14.259
39	54	46	47	206.52	0.22	15.521	13.222
39	52	45	46	200.15	0.86	15.683	10.339
39	50	44	45	315.72	0.35	15.368	4.588
39	48	43	44	426.17	0.92	15.445	2.277
39	46	42	43	302.87	1.26	15.33	1.908
39	44	41	42	369.65	1.27	15.836	0.808
39	42	40	41	616.55	0.69	23.038	0.235
40	71	55	56	270.45	0.18	9.141	25.483
40	69	54	55	175.9	0.82	8.768	32.886
40	67	53	54	73.83	0.71	4.461	34.546
40	65	52	53	101.52	1.47	6.036	29.142
40	63	51	52	317.68	0.26	15.836	20.672
40	61	50	51	273.7	0.19	15.779	19.923
40	59	49	50	417.87	0.06	15.511	10.495
40	57	48	49	222.71	1.38	15.989	16.239
40	55	47	48	250.84	0.31	15.588	10.933
40	53	46	47	207.63	0.83	15.626	9.93
40	51	45	46	260.19	0.28	15.454	5.598
40	49	44	45	401.6	0.28	15.349	2.401
40	47	43	44	446.58	1.87	15.378	1.298
40	45	42	43	335.68	1.95	15.511	0.871
40	43	41	42	473.75	1.73	16.667	0.221
41	70	55	56	260.22	1.38	7.278	18.453
41	68	54	55	169.53	0.25	5.397	18.201
41	66	53	54	82.18	3.22	2.268	13.527
41	64	52	53	103.54	0.39	4.422	17.712
41	62	51	52	327.7	0.72	16.648	17.556
41	60	50	51	286.33	0.51	11.061	10.922
41	58	49	50	440.18	0.96	15.836	8.138
41	56	48	49	225.08	0.63	16.524	12.916
41	54	47	48	259.78	0.24	15.874	8.063
41	52	46	47	231.98	0.64	15.922	6.469
41	50	45	46	313.19	0.53	15.588	3.127
41	48	44	45	420.41	0.87	15.34	1.376
41	46	43	44	508.67	0.54	15.559	0.577
41	44	42	43	516.57	0.29	16.4	0.199
42	71	56	57	257.31	1.44	13.821	35.436
42	69	55	56	273.22	0.16	14.872	31.121
42	67	54	55	169.27	0.6	16.486	47.732
42	65	53	54	79.49	0.03	8.243	42.999
42	63	52	53	105.38	0.9	12.35	40.5
42	61	51	52	323.87	0.67	15.626	13.642
42	59	50	51	283.89	0.22	15.569	12.405
42	57	49	50	423.23	0.29	15.636	6.5
42	55	48	49	237.52	1.19	15.855	8.808
42	53	47	48	253.2	0.31	15.368	5.72
42	51	46	47	302.03	0.55	15.311	3.185
42	49	45	46	395.2	0.46	15.426	1.471
42	47	44	45	433.45	1.07	15.913	0.692
42	45	43	44	633.35	1.38	19.284	0.191
43	70	56	57	233.03	0.4	6.887	16.897
43	68	55	56	257.05	1.28	8.233	15.698
43	66	54	55	167.2	0.25	4.632	11.489
43	64	53	54	79.01	2.9	3.238	14.162
43	62	52	53	100.12	0.34	5.167	14.592
43	60	51	52	319.64	0.66	12.398	8.773
43	58	50	51	272.05	0.17	17.336	11.211
43	56	49	50	419.03	1.11	16.333	5.143
43	54	48	49	215.88	0.26	19.81	8.648
43	52	47	48	260.81	0.47	16.6	3.999
43	50	46	47	334.67	0.48	16.18	1.823
43	48	45	46	381.59	0.37	15.406	0.761
43	46	44	45	550.58	0.47	16.342	0.186
44	71	57	58	177.14	1.16	6.237	20.132
44	69	56	57	247.5	1.21	12.188	24.133
44	67	55	56	253.27	0.11	15.368	25.163
44	65	54	55	168.33	0.7	10.755	22.079
44	63	53	54	80.54	0.53	6.046	21.225
44	61	52	53	107.35	0.94	10.583	22.3
44	59	51	52	329.98	0.71	15.731	8.387
44	57	50	51	285.04	0.25	15.941	7.379
44	55	49	50	446.29	0.53	15.12	3.193
44	53	48	49	240.49	0.99	16.199	4.232
44	51	47	48	373.9	0.37	15.244	1.537
44	49	46	47	482.33	0.74	15.435	0.603
44	47	45	46	517.08	1.26	16.705	0.203
45	70	57	58	175.45	2.58	9.609	26.841
45	68	56	57	236.67	0.24	14.795	25.924
45	66	55	56	259.26	0.2	12.971	17.289
45	64	54	55	166.76	0.13	14.47	24.535
45	62	53	54	81.24	0.91	9.943	27.685
45	60	52	53	111.11	0.29	8.262	13.081
45	58	51	52	333.31	0.63	15.254	6.038
45	56	50	51	289.42	0.42	15.569	5.07
45	54	49	50	453.29	1.45	15.11	2.094
45	52	48	49	262.34	0.42	15.607	2.243
45	50	47	48	419.68	1.12	15.683	0.704
45	48	46	47	451.97	0.76	17.269	0.24
46	71	58	59	229.78	1.26	12.321	26.28
46	69	57	58	174.32	0.41	14.174	33.72
46	67	56	57	229.92	0.95	16.142	24.262
46	65	55	56	248.89	0.18	15.674	17.805
46	63	54	55	165.95	0.3	16.237	22.132
46	61	53	54	82.36	0.16	14.26	30.461
46	59	52	53	111.54	0.69	15.617	18.474
46	57	51	52	325.29	0.76	15.578	4.514
46	55	50	51	289.78	0.38	15.445	3.349
46	53	49	50	443.82	0.88	15.416	1.309
46	51	48	49	326.21	0.91	15.664	0.905
46	49	47	48	531.93	0.25	16.581	0.196
47	70	58	59	218.67	0.05	15.168	28.764
47	68	57	58	167.59	1.82	13.343	27.514
47	66	56	57	230.41	0.23	14.623	17.944
47	64	55	56	241.83	0.15	16.075	15.036
47	62	54	55	165.99	0.08	15.779	16.724
47	60	53	54	89.82	1.09	9.093	13.358
47	58	52	53	115.75	0.08	15.521	12.638
47	56	51	52	329.07	0.89	15.531	2.965
47	54	50	51	289.38	0.31	15.349	2
47	52	49	50	488.65	1.26	15.779	0.609
47	50	48	49	330.28	0.72	16.591	0.316
48	71	59	60	210.97	0.19	12.78	25.121
48	69	58	59	224.34	0.89	16.085	24.777
48	67	57	58	160.82	0.36	15.55	27.338
48	65	56	57	224.24	0.99	16.008	16.148
48	63	55	56	240.5	0.12	15.569	11.389
48	61	54	55	169.56	0.19	15.932	12.398
48	59	53	54	94.37	0.38	15.32	15.301
48	57	52	53	122.84	0.64	15.798	8.081
48	55	51	52	343.41	0.76	15.359	1.686
48	53	50	51	290.45	0.64	15.445	1.002
48	51	49	50	644.21	1.61	18.864	0.184
49	70	59	60	196.81	2.54	8.806	15.463
49	68	58	59	209.96	0.15	11.328	15.255
49	66	57	58	159.26	2.83	8.195	11.639
49	64	56	57	212.59	0.13	16.438	13.603
49	62	55	56	232.98	0.18	16.82	9.526
49	60	54	55	178.05	0.1	15.32	8.11
49	58	53	54	104.76	0.48	15.674	9.401
49	56	52	53	119.97	0.26	16.218	5.096
49	54	51	52	304.08	0.72	15.139	0.938
49	52	50	51	271.39	0.41	15.263	0.353
50	71	60	61	244.14	0.9	16.82	23.808
50	69	59	60	213.71	0.6	14.872	19.675
50	67	58	59	212.71	0.55	16.094	17.115
50	65	57	58	159.54	0.43	15.435	17.021
50	63	56	57	219.87	0.89	15.731	9.441
50	61	55	56	242.25	0.2	15.483	6.024
50	59	54	55	195	0.15	15.617	5.032
50	57	53	54	120.76	0.4	15.33	4.786
50	55	52	53	155.54	0.65	15.416	1.868
50	53	51	52	359.18	1.46	18.32	0.32
51	70	60	61	239.45	0.3	15.311	18.079
51	68	59	60	202.53	1.26	16.438	18.359
51	66	58	59	211.06	0.33	15.206	12.675
51	64	57	58	152.84	1.38	16.113	13.911
51	62	56	57	210.45	0.28	15.559	6.968
51	60	55	56	245.92	0.2	14.499	3.705
51	58	54	55	214.44	0.53	14.833	2.608
51	56	53	54	136.51	0.52	15.129	2.089
51	54	52	53	145.53	0.98	15.836	0.684
52	71	61	62	169.48	0.24	14.996	25.017
52	69	60	61	240.17	0.91	15.34	14.447
52	67	59	60	191.68	0.35	15.311	14.053
52	65	58	59	202.66	0.41	15.712	10.23
52	63	57	58	145.04	0.89	15.397	10.005
52	61	56	57	204.69	0.9	15.34	4.709
52	59	55	56	248.23	0.35	15.158	2.302
52	57	54	55	211.02	0.07	15.33	1.369
52	55	53	54	223.2	0.55	17.412	0.49
53	70	61	62	158.5	0.45	16.304	23.268
53	68	60	61	215.14	0.46	15.378	12.575
53	66	59	60	187.08	1.41	15.196	10.718
53	64	58	59	183.55	0.4	15.578	7.999
53	62	57	58	133.24	1.34	15.492	7.305
53	60	56	57	197.96	0.45	14.518	2.765
53	58	55	56	263.49	0.4	14.719	1.053
53	56	54	55	218.15	0.38	16.495	0.475
54	71	62	63	142.18	0.49	16.304	25.938
54	69	61	62	156.16	0.22	14.824	16.7
54	67	60	61	204.97	0.78	15.846	10.2
54	65	59	60	178.16	0.54	15.206	8.044
54	63	58	59	191	0.7	15.473	5.09
54	61	57	58	141.94	0.76	15.244	4.049
54	59	56	57	245.75	0.43	15.578	1.195
54	57	55	56	358.03	1.18	16.925	0.297
55	70	62	63	152.91	0.08	15.187	17.473
55	68	61	62	164.81	0.36	15.894	12.724
55	66	60	61	232.17	0.54	15.101	6.13
55	64	59	60	208.09	1.32	15.435	4.661
55	62	58	59	251.51	0.6	15.33	2.298
55	60	57	58	206.97	0.95	14.9	1.357
55	58	56	57	386.72	0.66	16.944	0.275
56	71	63	64	183.92	0.09	14.585	13.951
56	69	62	63	176.49	0.23	15.311	11.447
56	67	61	62	181.13	0.28	15.368	7.996
56	65	60	61	257.21	0.34	15.387	3.759
56	63	59	60	251.48	0.2	15.273	2.29
56	61	58	59	328.51	1.18	15.607	0.896
56	59	57	58	299.82	1.28	16.467	0.345
57	70	63	64	201.64	0.21	16.085	10.525
57	68	62	63	184.23	0.05	15.578	7.969
57	66	61	62	199.5	0.48	15.511	4.885
57	64	60	61	274.59	0.37	15.168	2.082
57	62	59	60	311.61	0.83	15.703	0.95
57	60	58	59	455.29	1.37	16.256	0.224
58	71	64	65	190.07	0.54	15.502	10.761
58	69	63	64	212.19	0.05	14.958	6.644
58	67	62	63	178.22	0.1	15.454	5.448
58	65	61	62	186.42	0.51	15.082	3.05
58	63	60	61	275.91	0.88	15.33	1.047
58	61	59	60	349.69	0.7	16.744	0.301
59	70	64	65	206.74	0.18	15.091	6.88
59	68	63	64	225.6	0.17	15.521	4.323
59	66	62	63	212.87	0.15	15.225	2.696
59	64	61	62	220.2	0.29	15.531	1.329
59	62	60	61	409.54	0.69	17.594	0.27
60	71	65	66	183.58	0.4	14.241	7.311
60	69	64	65	232.9	0.82	15.177	4.094
60	67	63	64	252.09	0.25	15.196	2.273
60	65	62	63	246.2	0.25	15.282	1.17
60	63	61	62	276.11	0.22	15.999	0.364
61	70	65	66	205.73	0.93	15.836	4.836
61	68	64	65	246.43	0.16	15.254	2.334
61	66	63	64	319.14	0.8	15.254	0.901
61	64	62	63	319.84	0.9	17.145	0.337
62	71	66	67	223.74	1.09	15.617	4.386
62	69	65	66	214.49	0.63	14.948	2.627
62	67	64	65	246.18	0.43	15.683	1.201
62	65	63	64	294.25	2.81	17.116	0.365
63	70	66	67	234.52	2.38	15.234	2.449
63	68	65	66	209.97	0.3	15.588	1.399
63	66	64	65	331.56	9.04	16.07	0.305
64	71	67	68	204.2	0.09	15.149	2.797
64	69	66	67	312.21	2.7	15.75	0.951
64	67	65	66	305.44	15.11	17.608	0.362
65	70	67	68	258.35	2.5	15.932	1.162
65	68	66	67	338.3	0.29	17.852	0.332
66	71	68	69	244.53	0.79	15.922	1.227
66	69	67	68	281.93	0.74	16.132	0.36
67	70	68	69	285.15	1.87	18.043	0.398
68	71	69	70	380.84	0.59	18.148	0.299
	

	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
