72
# x	 y
0 -8.727
0.953939201	-8.427
1.9538787	-8.438
2.948350921	-8.333
3.941245176	-8.214
4.924543706	-8.032
5.918475293	-7.922
6.916961648	-7.867
7.914911546	-7.803
8.908953296	-7.694
9.882143925	-7.464
10.87954856	-7.392
11.87853554	-7.347
12.87352298	-7.247
13.85569201	-7.059
14.8484659	-6.939
15.84722511	-6.8892
16.84598432	-6.8394
17.84474353	-6.7896
18.84350274	-6.7398
19.84226195	-6.69
20.83744837	-6.592
21.82973058	-6.468
22.82274418	-6.586
23.82022049	-6.515
24.81982842	-6.487
25.81723305	-6.415
26.81722505	-6.411
27.81711254	-6.426
28.81674798	-6.399
29.80940048	-6.278
30.80438792	-6.378
31.80005403	-6.285
32.78105556	-6.091
33.77573692	-5.988
34.77497613	-5.949
35.77471159	-5.926
36.76100516	-5.761
37.7521212	-5.628
38.74489509	-5.508
39.74144463	-5.425
40.72872322	-5.266
41.71238983	-5.086
42.70643158	-4.977
43.67467741	-4.727
44.66792663	-4.611
45.64751787	-4.41
46.63863391	-4.277
47.62302407	-4.101
48.62289606	-4.117
49.61492631	-3.991
50.60464899	-3.848
51.58037385	-3.629
52.57066623	-3.49
53.55245032	-3.3
54.54052117	-3.146
55.53216577	-3.017
56.49804309	-2.758
57.45745749	-2.476
58.43621946	-2.271
59.40674458	-2.03
60.38040571	-1.802
61.37055722	-1.662
62.32481033	-1.363
63.30810886	-1.181
64.29177547	-1.001
65.27470171	-0.817
66.26759597	-0.698
67.24899089	-0.506
68.24417731	-0.408
69.24011907	-0.318
70.18820978	0
936
# a	b	m	n	rhoa	err	u 	i
5	24	14	15	125.89	0.24	16.409	36.854
5	22	13	14	171.84	1.62	15.578	20.506
5	20	12	13	166.52	0.37	15.731	16.62
5	18	11	12	213.24	1.29	15.254	9.438
5	16	10	11	196.99	1.23	15.101	7.225
5	14	9	10	221.18	2.99	15.397	4.374
5	12	8	9	184.97	0.41	15.034	3.064
5	10	7	8	215	0.25	15.129	1.326
5	8	6	7	263.13	1.26	17.727	0.423
6	43	24	25	193.63	2.81	3.439	19.079
6	41	23	24	248.79	0.53	5.12	19.782
6	39	22	23	226.6	0.51	11.796	44.482
6	37	21	22	204.6	0.12	11.529	42.485
6	35	20	21	249.22	0.96	12.503	33.098
6	33	19	20	193.17	0.18	16.075	47.58
6	31	18	19	159.31	0.65	16.266	50.041
6	29	17	18	159.77	0.22	14.06	36.492
6	27	16	17	140.52	0.24	15.053	37.019
6	25	15	16	153.18	0.73	7.039	12.993
6	23	14	15	136.2	0.44	15.731	26.126
6	21	13	14	183.67	1.72	15.712	15.05
6	19	12	13	184	0.15	15.894	11.397
6	17	11	12	240.42	0.4	15.464	6.062
6	15	10	11	224.2	0.87	15.559	4.36
6	13	9	10	245.81	2.71	15.359	2.355
6	11	8	9	210.35	0.86	15.206	1.363
6	9	7	8	212.46	1.42	14.26	0.422
7	44	25	26	376.76	0.77	11.032	31.46
7	42	24	25	158.29	0.15	14.47	87.884
7	40	23	24	253.73	0.74	13.735	46.257
7	38	22	23	231.98	0.16	14.709	47.807
7	36	21	22	200.79	0.78	12.598	41.393
7	34	20	21	226.9	0.24	15.75	39.69
7	32	19	20	187.5	0.44	15.798	41.292
7	30	18	19	157.55	0.64	15.855	41.732
7	28	17	18	161.1	0.23	15.655	33.581
7	26	16	17	151.05	0.29	15.359	28.749
7	24	15	16	156.37	1.13	15.779	22.824
7	22	14	15	137.8	0.5	15.741	20.096
7	20	13	14	188.45	1.68	15.788	11.054
7	18	12	13	192.64	1.13	15.311	7.491
7	16	11	12	248.48	0.77	15.282	3.864
7	14	10	11	215.2	0.18	15.244	2.671
7	12	9	10	244.25	2.84	15.394	1.188
7	10	8	9	263.75	1.31	15.683	0.374
8	45	26	27	269.64	0.37	7.737	30.828
8	43	25	26	363.25	0.58	7.221	19.11
8	41	24	25	203.83	2.83	4.89	20.502
8	39	23	24	247.3	0.55	15.416	47.001
8	37	22	23	229.8	0.4	15.779	45.299
8	35	21	22	183.44	0.51	11.29	35.189
8	33	20	21	212.32	0.49	16.037	37.017
8	31	19	20	179.06	0.22	15.703	36.366
8	29	18	19	162.56	0.62	14.298	30.397
8	27	17	18	165.74	0.34	15.454	26.364
8	25	16	17	158.58	0.85	9.313	13.283
8	23	15	16	156.32	0.33	15.655	17.619
8	21	14	15	135.26	0.44	15.865	15.477
8	19	13	14	193.58	1.69	15.55	7.571
8	17	12	13	198.73	0.83	15.387	4.865
8	15	11	12	248.03	1.28	15.273	2.321
8	13	10	11	219.05	0.8	15.101	1.299
8	11	9	10	344.02	2.47	18.081	0.33
9	46	27	28	244.45	1.53	7.67	33.711
9	44	26	27	306.63	0.65	7.698	24.135
9	42	25	26	294.82	0.65	17.212	49.886
9	40	24	25	199.98	0.33	8.654	32.627
9	38	23	24	241.22	0.8	11.452	31.321
9	36	22	23	219.98	0.2	11.357	29.518
9	34	21	22	182.26	0.47	17.68	47.54
9	32	20	21	197.01	0.3	16.419	34.561
9	30	19	20	172.96	0.34	17.107	34.179
9	28	18	19	163.36	0.62	16.476	28.517
9	26	17	18	172.37	0.3	16.428	21.558
9	24	16	17	154.21	0.27	16.266	18.557
9	22	15	16	155.28	1.18	16.132	13.708
9	20	14	15	134.95	0.35	16.266	11.36
9	18	13	14	203.59	2.05	15.082	4.655
9	16	12	13	201.23	0.6	14.891	2.79
9	14	11	12	241.48	1.21	14.661	1.144
9	12	10	11	280.41	0.25	15.273	0.342
10	47	28	29	193.71	3.75	3.544	19.654
10	45	27	28	263.07	1.84	5.148	18.813
10	43	26	27	295.75	0.96	4.661	13.467
10	41	25	26	276.87	0.81	5.206	14.176
10	39	24	25	200.22	1.53	7.431	24.485
10	37	23	24	235.41	0.32	9.59	23.291
10	35	22	23	225.05	0.54	9.208	20.052
10	33	21	22	172.66	0.14	13.764	33.058
10	31	20	21	190.15	0.26	16.81	30.551
10	29	19	20	181.36	0.31	13.764	21.457
10	27	18	19	175.07	0.57	16.027	20.708
10	25	17	18	188.37	0.42	11.223	10.482
10	23	16	17	163.75	0.57	15.874	12.791
10	21	15	16	171.2	0.27	15.511	8.539
10	19	14	15	161.9	0.59	15.855	6.153
10	17	13	14	247.77	1.88	15.215	2.315
10	15	12	13	240.21	2.31	14.977	1.175
10	13	11	12	387.92	0.38	15.521	0.251
11	48	29	30	259.96	2.85	9.523	39.358
11	46	28	29	212.07	1.06	8.997	40.787
11	44	27	28	270	1.46	8.816	27.901
11	42	26	27	276.05	0.2	15.989	43.671
11	40	25	26	279.01	0.6	16.056	37.965
11	38	24	25	215.13	0.12	14.47	38.459
11	36	23	24	229.6	0.68	16.18	34.536
11	34	22	23	207.73	0.16	16.085	32.11
11	32	21	22	168.7	0.44	16.199	33.183
11	30	20	21	183.99	0.21	15.894	24.424
11	28	19	20	184.34	0.24	15.827	19.421
11	26	18	19	188.9	0.65	15.922	14.829
11	24	17	18	188.67	0.37	15.846	11.082
11	22	16	17	171.53	0.28	15.483	8.507
11	20	15	16	189.76	1.44	15.416	5.104
11	18	14	15	188.99	0.59	14.9	2.972
11	16	13	14	268.19	1.87	15.072	1.059
11	14	12	13	249.45	1.88	15.874	0.4
12	49	30	31	136.73	3.05	2.144	16.85
12	47	29	30	242.27	2.42	7.221	28.652
12	45	28	29	223.57	2.86	7.02	26.832
12	43	27	28	262.47	1.65	6.046	17.368
12	41	26	27	278.18	0.69	7.813	18.53
12	39	25	26	270.73	0.62	15.597	32.941
12	37	24	25	213.55	0.86	15.674	35.972
12	35	23	24	224.54	0.2	16.056	29.652
12	33	22	23	195.81	0.19	16.342	28.843
12	31	21	22	162.52	0.15	15.941	27.734
12	29	20	21	193.81	0.7	13.487	15.74
12	27	19	20	194.97	0.21	15.597	14.074
12	25	18	19	206.28	0.69	15.311	9.794
