56
# x y z
21.375 2965.981 0.0
22.875 2964.563 0.0
24.375 2963.821 0.0
25.875 2963.132 0.0
27.375 2962.38 0.0
28.875 2961.36 0.0
30.375 2960.586 0.0
31.875 2959.859 0.0
33.375 2959.2 0.0
34.875 2958.635 0.0
36.375 2958.012 0.0
37.875 2957.277 0.0
39.375 2956.528 0.0
40.875 2955.697 0.0
42.375 2954.975 0.0
43.875 2954.283 0.0
45.375 2953.512 0.0
46.875 2952.847 0.0
48.375 2951.95 0.0
49.875 2951.131 0.0
51.375 2950.357 0.0
52.875 2949.624 0.0
54.375 2948.811 0.0
55.875 2948.158 0.0
57.375 2947.454 0.0
58.875 2946.845 0.0
60.375 2946.19 0.0
61.875 2945.65 0.0
63.375 2945.17 0.0
64.875 2944.684 0.0
66.375 2944.204 0.0
67.875 2943.74 0.0
69.375 2943.484 0.0
70.875 2943.148 0.0
72.375 2942.711 0.0
73.875 2942.282 0.0
75.375 2941.835 0.0
76.875 2941.254 0.0
78.375 2940.771 0.0
79.875 2940.297 0.0
81.375 2939.781 0.0
82.875 2939.288 0.0
84.375 2939.127 0.0
85.875 2939.202 0.0
87.375 2939.147 0.0
88.875 2939.03 0.0
90.375 2938.745 0.0
91.875 2938.389 0.0
93.375 2938.393 0.0
94.875 2938.589 0.0
96.375 2938.645 0.0
97.875 2938.588 0.0
99.375 2938.778 0.0
100.875 2938.937 0.0
102.375 2939.046 0.0
103.875 2939.099 0.0
930
# a b m n r rhoa k err
6 42 18 30 8.801843 1039.908335721373 118.14665811709811 0.05
6 45 19 32 7.64345597 983.9490849488548 128.73091554537402 0.05
6 48 20 34 6.84183896 959.2715350963392 140.20668137683546 0.05
6 51 21 36 6.26614005 961.0572964834239 153.37309552847034 0.05
7 10 8 9 369.234233 3778.6702594974195 10.23380261574343 0.05
7 13 9 11 120.558615 2596.0288911426683 21.533333732663305 0.05
7 16 10 13 79.9538517 2626.3141316154065 32.847875065103416 0.05
7 19 11 15 42.0470353 1747.390936198508 41.55800578402511 0.05
7 22 12 17 27.5793858 1444.696155718317 52.38318816071375 0.05
7 25 13 19 22.039913 1407.608802900048 63.86635023922499 0.05
7 28 14 21 18.2802645 1353.8871763029108 74.06277826575817 0.05
7 31 15 23 16.5851888 1381.7456100227193 83.31202174935261 0.05
7 34 16 25 13.8189194 1260.9846364058105 91.25059636760096 0.05
7 37 17 27 11.483726 1126.8917189636654 98.12945022927796 0.05
7 40 18 29 9.50126385 1009.4348338709452 106.24216418018379 0.05
7 43 19 31 8.11141605 965.2816663062695 119.00285478591243 0.05
7 46 20 33 7.26403795 933.7406661426361 128.54292234839386 0.05
7 49 21 35 6.59030368 939.5445589795884 142.5646836018926 0.05
7 52 22 37 6.26490536 966.6959218348579 154.30335596240482 0.05
8 11 9 10 255.933677 2638.1042620125386 10.307765249715608 0.05
8 14 10 12 147.050961 3169.5685120834373 21.554218282758704 0.05
8 17 11 14 66.2938411 2071.0566799106664 31.240559387509474 0.05
8 20 12 16 34.6261578 1426.5767034501819 41.19939358244887 0.05
8 23 13 18 28.0333039 1476.7736508154142 52.67925807401582 0.05
8 26 14 20 22.3414795 1412.095777991429 63.20511486230932 0.05
8 29 15 22 18.9179213 1392.5053739413422 73.60773691036246 0.05
8 32 16 24 15.6468317 1287.354679845493 82.2757414745819 0.05
8 35 17 26 13.1302053 1178.1787152165011 89.73041078165785 0.05
8 38 18 28 10.6910323 1028.4592003154505 96.19830634273274 0.05
8 41 19 30 8.79424753 934.6993314987704 106.28531074548575 0.05
8 44 20 32 7.83673825 933.8871966295925 119.16784341107635 0.05
8 47 21 34 7.06224407 915.1711278607511 129.58644855511926 0.05
8 50 22 36 6.40728563 921.2727670912243 143.78518772093892 0.05
8 53 23 38 6.10974394 949.2466888366475 155.366034674875 0.05
9 12 10 11 340.102379 3536.0608437748774 10.397048248153764 0.05
9 15 11 13 130.543917 2737.205913231377 20.967701721646495 0.05
9 18 12 15 50.132182 1501.4947232693212 29.950715555714712 0.05
9 21 13 17 39.9603907 1632.3982753417054 40.85040828546517 0.05
9 24 14 19 30.4955288 1609.4026424070357 52.77503639835344 0.05
9 27 15 21 23.8028126 1497.8542760110017 62.92761705022212 0.05
9 30 16 23 19.3073639 1391.639145812669 72.07815385986842 0.05
9 33 17 25 15.2716203 1239.4743290751642 81.16193990726472 0.05
9 36 18 27 12.6651792 1108.88878938253 87.55413341348773 0.05
9 39 19 29 9.77817757 937.421622643726 95.86874608616112 0.05
9 42 20 31 8.47203396 913.2131373316001 107.79148686646674 0.05
9 45 21 33 7.68373841 918.3487455690362 119.51848131293113 0.05
9 48 22 35 6.81944288 896.8216565097433 131.5095195151401 0.05
9 51 23 37 6.35174647 922.549467669834 145.24343375906722 0.05
9 54 24 39 6.07254561 942.292939946182 155.17264100815572 0.05
10 13 11 12 373.439533 3820.802624810207 10.231382291307137 0.05
10 16 12 14 82.1191941 1666.3911376953265 20.292346460026042 0.05
10 19 13 16 51.3436579 1552.2521300998137 30.232597239625456 0.05
10 22 14 18 39.6438135 1674.7700075390605 42.245431498134266 0.05
10 25 15 20 29.9059152 1584.0814125497998 52.96883248534724 0.05
10 28 16 22 22.3368285 1406.8983885651492 62.98559298895764 0.05
10 31 17 24 17.7876542 1277.4585630609747 71.8171462463541 0.05
10 34 18 26 14.2277314 1132.946477463639 79.62945360801785 0.05
10 37 19 28 11.2307027 972.3773646052931 86.58205907323084 0.05
10 40 20 30 9.23380864 892.3942722852825 96.64422418497104 0.05
10 43 21 32 8.28777441 908.1256446460532 109.5741268669562 0.05
10 46 22 34 7.31082577 882.5187866954293 120.71396781425818 0.05
10 49 23 36 6.49760452 876.7024143280622 134.9270198931809 0.05
10 52 24 38 6.42350746 940.8340961324086 146.46734700490387 0.05
10 55 25 40 5.94526425 923.1704230359674 155.27828271652808 0.05
11 14 12 13 210.275122 2243.3849901971093 10.66880841090231 0.05
11 17 13 15 84.2078264 1712.0940205474503 20.331768360992278 0.05
