time,dayl (s),prcp (mm/day),srad (W/m2),tmax (degrees C),tmin (degrees C),pet (mm/day)
1980-01-01,33570.26,0.0,481.44,-1.72,-27.16,0.9703927132491328
1980-01-02,33609.73,0.0,338.54,-5.14,-17.32,0.6394733183200948
1980-01-03,33652.43,0.0,472.55,-6.64,-29.07,0.735898682891449
1980-01-04,33698.34,0.0,252.81,-3.47,-12.18,0.6139637762171936
1980-01-05,33747.41,0.0,471.45,0.93,-21.23,1.0593485102649145
1980-01-06,33799.61,0.0,389.55,-3.53,-18.04,0.7514261647066149
1980-01-07,33854.92,4.99,197.42,-5.92,-15.12,0.5593326031053835
1980-01-08,33913.28,11.29,167.02,-8.97,-16.61,0.4467984293074091
1980-01-09,33974.66,9.6,214.35,-5.69,-15.68,0.5898989919394695
1980-01-10,34039.02,22.57,86.7,-7.41,-11.15,0.3783381127264271
1980-01-11,34106.31,0.0,500.68,-2.08,-27.46,1.000028982052334
1980-01-12,34176.5,25.33,290.36,-5.99,-20.55,0.6810932004946485
1980-01-13,34249.53,32.27,203.92,-1.61,-10.91,0.7103645781778992
1980-01-14,34325.36,17.35,267.37,1.66,-11.23,0.9379073375577592
1980-01-15,34403.94,23.95,147.98,-0.81,-7.38,0.6472828515503735
1980-01-16,34485.22,0.0,472.41,-3.06,-22.05,0.9080784224469739
1980-01-17,34569.16,9.66,309.18,-6.01,-21.41,0.7164042951277839
1980-01-18,34655.7,0.0,265.58,-7.15,-15.59,0.5629063301348308
1980-01-19,34744.79,0.0,372.06,-1.16,-13.6,0.8775046537281406
1980-01-20,34836.37,0.0,473.46,0.11,-18.09,1.0720911589665032
1980-01-21,34930.41,0.0,518.15,-3.55,-26.45,0.9752120578892427
1980-01-22,35026.84,0.0,535.42,-3.65,-29.47,1.004592473397662
1980-01-23,35125.6,0.0,527.2,-8.8,-31.82,0.7515610599929476
1980-01-24,35226.66,0.0,526.82,-6.94,-29.4,0.8366764304683062
1980-01-25,35329.94,0.0,497.9,-5.62,-24.34,0.86916750963013
1980-01-26,35435.41,0.0,423.49,-2.54,-16.43,0.9274382838855131
1980-01-27,35543.0,13.91,64.91,-5.07,-7.27,0.39333019191592034
1980-01-28,35652.66,13.67,189.55,-0.74,-8.46,0.7607816103389439
1980-01-29,35764.34,28.47,76.34,-4.56,-7.29,0.43248139980502703
1980-01-30,35877.99,28.62,169.53,-4.81,-11.51,0.6034585695829401
1980-01-31,35993.54,0.0,573.68,-3.89,-31.38,1.0810816983453981
1980-02-01,36110.95,0.0,543.4,-9.88,-30.95,0.7575666688774237
1980-02-02,36230.16,0.0,539.44,-5.82,-26.01,0.9507460205575426
1980-02-03,36351.13,0.0,506.54,0.98,-16.78,1.2849329949854797
1980-02-04,36473.8,0.0,544.95,0.82,-19.75,1.343318055523993
1980-02-05,36598.11,0.0,572.33,-2.27,-25.94,1.2063502633893424
1980-02-06,36724.03,0.0,573.24,-0.32,-24.27,1.3407029174178202
1980-02-07,36851.49,2.11,336.04,-0.1,-15.39,1.124759214771559
1980-02-08,36980.45,0.0,561.25,-4.66,-26.72,1.0838389809795022
1980-02-09,37110.85,0.0,590.58,-6.56,-32.74,1.00250941249207
1980-02-10,37242.66,0.0,573.93,-8.29,-31.46,0.9084729696884608
1980-02-11,37375.82,0.0,588.58,-6.64,-31.53,1.0128336421095858
1980-02-12,37510.29,0.0,575.05,-7.38,-30.67,0.9728167147382303
1980-02-13,37646.02,0.0,558.78,-3.43,-25.22,1.2032360244732947
1980-02-14,37782.96,12.35,337.53,-1.74,-17.7,1.1082531636856987
1980-02-15,37921.07,35.19,118.77,-3.39,-8.24,0.612119290818049
1980-02-16,38060.31,13.57,299.69,-1.69,-14.79,1.0536415901752967
1980-02-17,38200.63,0.0,511.05,-0.88,-18.58,1.3536689208084116
1980-02-18,38341.99,18.85,316.11,-2.47,-16.39,1.0565475865111105
1980-02-19,38484.35,28.65,321.94,-0.33,-14.4,1.1857351269287002
1980-02-20,38627.66,19.05,336.91,-0.99,-15.56,1.1805797101487185
1980-02-21,38771.9,12.98,279.5,-4.32,-15.51,0.9151693851687702
1980-02-22,38917.02,10.49,337.37,-2.6,-16.34,1.0996035717751673
1980-02-23,39062.97,10.82,320.1,-4.05,-16.55,0.9999722846562902
1980-02-24,39209.73,16.6,447.67,-5.53,-26.66,1.087615274869862
1980-02-25,39357.26,0.0,659.78,-6.65,-32.54,1.161889128115003
1980-02-26,39505.52,0.0,634.11,-5.69,-28.93,1.232215663233694
1980-02-27,39654.47,0.0,636.0,-0.89,-24.6,1.6015693055252493
1980-02-28,39804.08,0.0,666.32,2.62,-25.0,1.9375426987806037
1980-02-29,39954.32,0.0,519.15,1.9,-15.03,1.706790496178576
1980-03-01,40105.15,0.0,617.82,-0.72,-22.78,1.6383963361571303
1980-03-02,40256.54,0.0,643.32,-1.73,-25.54,1.5873917545101066
1980-03-03,40408.46,6.6,392.1,-0.98,-17.93,1.3718987367492343
1980-03-04,40560.88,14.55,286.99,-0.18,-11.52,1.219646903045096
1980-03-05,40713.76,13.47,284.63,-1.94,-12.92,1.122500689246179
1980-03-06,40867.08,17.91,143.42,-2.92,-8.01,0.7403188314885659
1980-03-07,41020.8,15.67,207.01,-2.7,-10.02,0.9129793795859608
1980-03-08,41174.9,9.76,233.53,-5.16,-13.29,0.8673184450419994
1980-03-09,41329.35,0.0,500.01,-5.93,-19.22,1.2243317544142416
1980-03-10,41484.12,0.0,684.56,-3.4,-25.43,1.5927630483328283
1980-03-11,41639.18,0.0,718.45,-0.16,-25.35,1.9073654219555178
1980-03-12,41794.5,15.58,435.12,-4.3,-20.43,1.2758879254222013
1980-03-13,41950.06,0.0,694.62,-6.26,-27.79,1.402760944829821
1980-03-14,42105.82,0.0,715.2,-2.04,-25.16,1.7830010646925578
1980-03-15,42261.77,0.0,708.2,0.44,-22.07,2.032273900223608
1980-03-16,42417.88,5.57,525.29,1.86,-21.79,1.915631872308533
1980-03-17,42574.11,0.0,739.98,-7.18,-32.98,1.3519250524280066
1980-03-18,42730.45,0.0,734.26,-3.91,-29.03,1.6486490430823395
1980-03-19,42886.87,0.0,716.46,0.05,-23.58,2.044010174081004
1980-03-20,43043.34,0.0,593.01,-2.9,-19.44,1.6706631107509882
1980-03-21,43199.83,0.0,686.63,-0.56,-21.81,1.9926444673174095
1980-03-22,43356.32,0.0,605.54,0.83,-16.35,2.0454950643168535
1980-03-23,43512.79,0.0,664.91,0.75,-19.25,2.1293265793891862
1980-03-24,43669.21,0.0,691.62,-2.46,-23.92,1.844377433451386
1980-03-25,43825.55,9.74,504.02,1.38,-19.6,1.9367335150630864
1980-03-26,43981.78,6.87,484.87,-4.24,-23.33,1.442181462769749
1980-03-27,44137.89,0.0,676.15,-2.27,-22.11,1.893946126348433
1980-03-28,44293.84,0.0,673.98,-2.51,-21.96,1.882955427282211
1980-03-29,44449.6,0.0,596.37,-4.34,-20.06,1.64786708358955
1980-03-30,44605.16,0.0,686.2,-4.03,-23.55,1.773226899394878
1980-03-31,44760.49,13.66,502.38,0.45,-18.73,1.9109553763717928
1980-04-01,44915.54,0.0,684.38,-8.37,-27.26,1.4085929371111485
1980-04-02,45070.31,16.73,459.29,-4.62,-20.77,1.4376298498050268
1980-04-03,45224.76,11.2,423.55,-5.52,-19.92,1.3268300973205016
1980-04-04,45378.86,0.0,649.37,-2.11,-19.45,1.9831825619211847
1980-04-05,45532.59,0.0,655.65,-0.69,-18.51,2.144457223022107
1980-04-06,45685.91,5.97,405.95,1.7,-12.33,1.8778082567634649
1980-04-07,45838.79,7.25,395.75,-0.85,-14.41,1.653856697696836
1980-04-08,45991.21,0.0,709.39,-5.48,-25.85,1.7305245304841497
1980-04-09,46143.13,0.0,734.67,-1.26,-22.99,2.1993182458100806
1980-04-10,46294.52,0.0,585.79,-1.05,-16.05,2.0552978962697717
1980-04-11,46445.35,7.87,489.82,-0.59,-18.36,1.8899309594291993
1980-04-12,46595.59,0.0,698.41,-5.4,-24.55,1.776646657996453
1980-04-13,46745.21,0.0,767.39,-2.16,-25.12,2.162833084690018
1980-04-14,46894.16,0.0,740.57,0.63,-20.61,2.4968279026547537
1980-04-15,47042.42,0.0,731.46,3.0,-17.64,2.8004424645310912
1980-04-16,47189.95,0.0,681.81,2.7,-15.33,2.708180822083564
1980-04-17,47336.71,0.0,771.2,3.72,-18.79,2.969785512844791
1980-04-18,47482.67,0.0,764.03,5.46,-16.55,3.21868141602911
1980-04-19,47627.78,0.0,748.63,7.42,-13.79,3.487518281495811
1980-04-20,47772.02,0.0,769.97,8.68,-13.85,3.7193062905098806
1980-04-21,47915.34,0.0,625.63,8.4,-7.42,3.356353519798135
1980-04-22,48057.7,0.0,472.81,7.3,-3.78,2.730159821082591
1980-04-23,48199.07,0.0,572.02,4.81,-8.76,2.7972464104758914
1980-04-24,48339.39,2.86,267.8,3.77,-4.12,1.6955254243342337
1980-04-25,48478.63,0.0,648.98,2.6,-12.93,2.754969313077376
1980-04-26,48616.74,0.0,540.69,3.52,-8.59,2.5987933491185244
1980-04-27,48753.68,0.0,710.02,5.35,-12.27,3.266557877840502
1980-04-28,48889.41,0.0,712.61,7.03,-10.78,3.5167901571392224
1980-04-29,49023.88,0.0,603.8,7.23,-6.6,3.2555433560380274
1980-04-30,49157.05,6.58,394.95,5.7,-5.88,2.3771870166723663
1980-05-01,49288.86,6.06,313.62,3.58,-5.14,1.8920546193659185
1980-05-02,49419.27,0.0,552.83,4.77,-7.04,2.83646776289062
1980-05-03,49548.23,0.0,626.47,8.58,-5.39,3.555150985705084
1980-05-04,49675.7,0.0,575.82,5.2,-7.08,2.9799081419158293
1980-05-05,49801.61,0.0,605.76,6.8,-6.23,3.2833152674152704
1980-05-06,49925.93,0.0,641.69,8.0,-6.12,3.5676388803509833
1980-05-07,50048.6,0.0,563.02,7.74,-4.11,3.270558924679812
1980-05-08,50169.57,10.23,266.13,4.92,-1.97,1.8154653326884667
1980-05-09,50288.79,9.36,268.57,2.69,-4.02,1.67410860257396
1980-05-10,50406.21,15.81,269.32,3.65,-2.99,1.7445639534341126
1980-05-11,50521.76,11.33,346.57,5.22,-3.37,2.196671185732741
1980-05-12,50635.41,11.44,543.49,7.06,-8.45,3.1367527071696975
1980-05-13,50747.09,0.0,604.09,0.72,-10.51,2.629150949533498
1980-05-14,50856.76,0.0,546.97,3.97,-5.77,2.8424073126736937
1980-05-15,50964.36,3.78,378.86,4.05,-4.64,2.2405837122478083
1980-05-16,51069.83,7.95,381.57,3.83,-4.73,2.2352215392096006
1980-05-17,51173.12,9.79,374.71,4.58,-3.53,2.276568164755507
1980-05-18,51274.18,5.63,543.59,4.71,-8.45,2.9159853659666752
1980-05-19,51372.95,0.0,764.1,7.18,-7.04,4.039129297011904
1980-05-20,51469.38,0.0,743.01,9.35,-3.94,4.32687402724797
1980-05-21,51563.42,0.0,832.48,12.96,-4.75,5.194628975790463
1980-05-22,51655.02,0.0,818.71,14.12,-3.09,5.36303189377649
1980-05-23,51744.11,1.19,806.23,15.58,-1.19,5.582131443760926
1980-05-24,51830.66,0.0,801.79,10.54,-5.82,4.7201680423012995
1980-05-25,51914.6,0.0,843.26,9.87,-8.98,4.698429409712753
1980-05-26,51995.89,0.0,768.73,7.4,-7.5,4.133118729695618
1980-05-27,52074.47,0.0,835.45,11.57,-7.02,4.995020551301774
1980-05-28,52150.31,0.0,805.27,12.33,-4.51,5.063262916515663
1980-05-29,52223.35,0.0,773.35,12.92,-2.55,5.0665016513612535
1980-05-30,52293.54,0.0,782.97,9.89,-5.93,4.599355282186729
1980-05-31,52360.84,0.0,785.15,12.91,-3.49,5.110067854162953
1980-06-01,52425.21,0.0,792.97,11.47,-5.35,4.893574893442466
1980-06-02,52486.59,0.0,753.43,10.37,-4.73,4.594271839544096
1980-06-03,52544.96,0.0,806.57,15.58,-2.5,5.651563697302719
1980-06-04,52600.27,0.0,768.52,16.77,0.34,5.717236801494797
1980-06-05,52652.48,0.0,753.92,15.67,-0.07,5.478005980702149
1980-06-06,52701.56,0.0,672.47,14.91,1.92,4.99038722641537
1980-06-07,52747.47,0.0,821.74,14.83,-4.58,5.574842179590915
1980-06-08,52790.18,0.0,831.65,17.98,-2.94,6.162167625123942
1980-06-09,52829.66,0.0,791.72,16.62,-2.17,5.779830219461564
1980-06-10,52865.88,0.0,788.99,17.19,-1.86,5.8651441454909286
1980-06-11,52898.81,0.0,801.69,17.69,-2.18,6.0016807776107575
1980-06-12,52928.44,0.0,766.87,17.41,-0.87,5.816969417270555
1980-06-13,52954.73,0.0,759.6,16.81,-1.37,5.681543185162097
1980-06-14,52977.68,0.0,796.78,17.01,-3.45,5.849320464438198
1980-06-15,52997.25,0.0,831.88,16.93,-6.35,5.9262789606783945
1980-06-16,53013.45,0.0,764.74,15.17,-4.24,5.400610892291209
1980-06-17,53026.25,0.0,763.45,16.52,-3.1,5.625770036799166
1980-06-18,53035.64,0.0,781.15,18.36,-2.49,6.010907962895232
1980-06-19,53041.63,0.0,717.57,19.34,1.28,5.898385143707754
1980-06-20,53044.2,0.0,747.77,17.55,-1.74,5.734344546752547
1980-06-21,53043.35,0.0,747.47,17.93,-1.43,5.79622014711963
1980-06-22,53039.09,0.0,751.72,16.88,-2.69,5.631897828946009
1980-06-23,53031.41,0.0,800.82,18.79,-3.8,6.1443891141022675
1980-06-24,53020.33,0.0,712.25,20.74,2.54,6.0932276097852665
1980-06-25,53005.84,0.0,806.66,21.23,-2.07,6.6016872881895825
1980-06-26,52987.97,0.0,791.98,21.72,-0.78,6.626679353260982
1980-06-27,52966.73,0.0,743.24,20.96,1.04,6.270535291421917
1980-06-28,52942.12,0.0,729.14,18.2,-0.98,5.736618409384928
1980-06-29,52914.17,0.0,740.14,19.38,-0.47,5.978243846180666
1980-06-30,52882.9,0.0,804.48,21.99,-1.76,6.701490385079964
1980-07-01,52848.34,7.11,460.93,19.57,4.13,4.4595040673245245
1980-07-02,52810.5,4.37,406.24,17.37,4.31,3.8524555814090284
1980-07-03,52769.41,0.0,585.77,16.56,2.55,4.757739872069617
1980-07-04,52725.11,0.0,712.13,18.03,-0.44,5.603949625275254
1980-07-05,52677.63,0.0,747.64,19.5,-0.73,5.9992017422928035
1980-07-06,52626.99,0.0,773.81,21.05,-0.81,6.369179350401787
1980-07-07,52573.24,0.0,801.32,22.35,-1.32,6.7051692807741325
1980-07-08,52516.41,5.09,457.29,17.78,2.55,4.195869064640408
1980-07-09,52456.54,0.0,717.57,18.77,-0.21,5.711297980266462
1980-07-10,52393.67,0.0,728.91,21.28,1.66,6.1686664431948675
1980-07-11,52327.85,0.0,709.22,20.96,2.28,6.010158708388865
1980-07-12,52259.11,0.0,730.14,21.78,2.11,6.238661871757641
1980-07-13,52187.5,5.82,528.2,22.02,3.01,5.134221769364937
1980-07-14,52113.07,0.0,508.11,15.22,3.27,4.097053949501911
1980-07-15,52035.87,0.0,721.19,17.33,-1.52,5.442189113911224
1980-07-16,51955.93,0.0,770.9,19.74,-1.69,6.038654754693996
1980-07-17,51873.32,0.0,780.52,21.38,-0.77,6.347423901039076
1980-07-18,51788.08,0.0,779.05,21.94,-0.2,6.424562497742178
1980-07-19,51700.27,0.0,726.93,21.75,2.2,6.137791250328945
1980-07-20,51609.93,0.0,690.72,18.66,0.8,5.4601865524129085
1980-07-21,51517.12,0.0,767.15,21.4,-0.16,6.23900447164535
1980-07-22,51421.89,0.0,731.5,21.9,2.07,6.143501062001127
1980-07-23,51324.29,2.01,505.76,21.1,3.36,4.787285894165633
1980-07-24,51224.37,2.65,522.08,20.21,1.64,4.761469578964752
1980-07-25,51122.2,5.1,520.23,19.09,0.77,4.5954686484628535
1980-07-26,51017.82,0.0,676.02,17.75,0.62,5.178398958219705
1980-07-27,50911.29,0.0,696.32,18.51,0.58,5.373632390684614
1980-07-28,50802.66,0.0,758.2,19.91,-0.94,5.85044053233169
1980-07-29,50691.99,0.0,763.29,22.38,1.03,6.261929634854843
1980-07-30,50579.33,0.0,780.1,21.37,-0.8,6.149027682661827
1980-07-31,50464.73,0.0,690.96,20.51,2.59,5.5917206792558956
1980-08-01,50348.24,0.0,624.5,21.51,5.83,5.37117713180127
1980-08-02,50229.93,0.0,652.21,21.84,5.13,5.5543873368624315
1980-08-03,50109.83,0.0,696.8,21.95,3.51,5.786240403257682
1980-08-04,49988.01,0.0,724.33,20.58,1.02,5.6890439926068455
1980-08-05,49864.52,0.0,638.22,19.72,3.65,5.1301117284323015
1980-08-06,49739.4,0.0,743.27,21.51,1.14,5.883410355866115
1980-08-07,49612.71,0.0,777.35,23.04,0.56,6.255557011724645
1980-08-08,49484.5,0.0,699.35,22.53,4.02,5.792544852492609
1980-08-09,49354.81,0.0,729.33,21.65,1.98,5.783081181766322
1980-08-10,49223.7,0.0,743.78,22.0,1.51,5.88082707077841
1980-08-11,49091.22,0.0,799.17,23.44,-0.73,6.320011432347805
1980-08-12,48957.4,0.0,808.06,23.19,-1.93,6.286294445114362
1980-08-13,48822.3,0.0,754.99,20.39,-1.3,5.6057525314216035
1980-08-14,48685.96,2.85,514.93,20.19,1.48,4.456927934867389
1980-08-15,48548.43,9.93,365.44,17.43,5.55,3.2838908376073563
1980-08-16,48409.75,0.0,618.47,12.75,-2.65,3.9218897976021956
1980-08-17,48269.97,0.0,687.53,14.21,-3.76,4.355839668405665
1980-08-18,48129.13,0.0,729.08,17.7,-2.36,4.991893714189916
1980-08-19,47987.27,0.0,617.85,17.11,1.61,4.433720203488948
1980-08-20,47844.43,0.0,677.38,14.66,-2.94,4.3276715071619245
1980-08-21,47700.65,0.0,774.19,15.33,-7.4,4.710288957810776
1980-08-22,47555.97,0.0,797.03,18.48,-6.43,5.239613859610786
1980-08-23,47410.43,0.0,748.58,19.63,-2.17,5.236142812326352
1980-08-24,47264.07,4.16,370.56,15.12,2.99,3.007965093083807
1980-08-25,47116.92,2.66,288.3,12.39,3.21,2.338988159289987
1980-08-26,46969.03,4.22,465.62,15.82,-0.29,3.528600112938642
1980-08-27,46820.42,0.0,629.88,13.96,-2.08,3.9289521788673603
1980-08-28,46671.13,0.0,700.51,15.12,-3.85,4.309220315752702
1980-08-29,46521.21,0.0,714.52,17.74,-2.07,4.697908289078207
1980-08-30,46370.67,0.0,622.15,16.58,0.71,4.167458369502722
1980-08-31,46219.56,0.0,662.16,13.44,-4.02,3.8965838482436466
1980-09-01,46067.9,0.0,650.13,13.0,-4.03,3.7811287700856226
1980-09-02,45915.73,0.0,710.03,16.88,-3.15,4.4669151748414775
1980-09-03,45763.07,0.0,732.98,18.99,-2.59,4.811483751805056
1980-09-04,45609.97,0.0,742.85,19.4,-3.19,4.8755585715982805
1980-09-05,45456.45,0.0,726.06,20.32,-1.41,4.918094066612848
1980-09-06,45302.53,0.0,718.41,20.82,-0.62,4.931038422373583
1980-09-07,45148.25,0.0,659.72,19.63,1.17,4.519761732021907
1980-09-08,44993.64,2.73,452.32,19.73,3.07,3.675697673422152
1980-09-09,44838.73,4.24,328.13,16.61,5.42,2.7239651082149026
1980-09-10,44683.53,9.76,152.89,11.11,6.25,1.4090783144944865
1980-09-11,44528.09,7.3,394.13,12.12,-1.15,2.6342104371352155
1980-09-12,44372.43,5.87,318.31,10.72,0.46,2.1871802378354275
1980-09-13,44216.57,0.0,549.73,12.74,-0.82,3.1698694221563337
1980-09-14,44060.53,0.0,663.05,16.26,-1.94,3.934437638242234
1980-09-15,43904.36,0.0,678.02,17.84,-1.4,4.152371859958446
1980-09-16,43748.07,0.0,613.12,16.04,-0.32,3.688957092030683
1980-09-17,43591.69,0.0,679.17,15.66,-3.83,3.83845113674902
1980-09-18,43435.25,0.0,705.13,16.69,-4.79,4.0176509971606436
1980-09-19,43278.76,0.0,666.36,18.24,-1.25,4.055345230126274
1980-09-20,43122.27,0.0,624.87,18.72,1.19,3.9365046109560584
1980-09-21,42965.78,0.0,667.86,17.47,-2.13,3.91408136608367
1980-09-22,42809.34,0.0,693.46,15.58,-5.7,3.7424178728529927
1980-09-23,42652.95,0.0,676.24,13.08,-7.48,3.3795678716729123
1980-09-24,42496.66,0.0,676.88,14.01,-7.21,3.4651758776213417
1980-09-25,42340.49,0.0,688.62,15.06,-7.52,3.594845676329308
1980-09-26,42184.46,0.0,696.38,15.29,-8.45,3.6189732173536022
1980-09-27,42028.6,0.0,647.48,15.7,-4.92,3.502903592825935
1980-09-28,41872.93,0.0,662.25,17.15,-4.79,3.6848274362507034
1980-09-29,41717.48,0.0,647.97,16.22,-5.15,3.514424612966542
1980-09-30,41562.29,0.0,689.91,19.73,-5.55,4.02207865199034
1980-10-01,41407.37,0.0,694.05,20.02,-6.36,4.0479073775623045
1980-10-02,41252.76,0.0,664.85,17.96,-6.05,3.6889864188913584
1980-10-03,41098.48,0.0,657.11,16.05,-7.64,3.4310687312339025
1980-10-04,40944.56,0.0,676.92,17.95,-8.12,3.6804213553933125
1980-10-05,40791.04,0.0,660.91,17.74,-7.25,3.581976582869587
1980-10-06,40637.93,0.0,650.69,16.96,-7.53,3.442677461661757
1980-10-07,40485.27,0.0,663.75,18.73,-7.68,3.656950603352632
1980-10-08,40333.1,0.0,655.3,19.41,-6.87,3.6819878154966204
1980-10-09,40181.44,0.0,654.45,19.9,-7.19,3.716781904580648
1980-10-10,40030.32,0.0,622.87,17.56,-7.27,3.3462107254841964
1980-10-11,39879.78,0.0,585.27,15.5,-6.91,3.0092134055977806
1980-10-12,39729.85,0.0,559.11,16.06,-5.11,2.9671570972063104
1980-10-13,39580.56,4.31,355.22,12.41,-5.12,2.1988882140396084
1980-10-14,39431.95,6.13,317.16,10.48,-4.81,1.9214145253080361
1980-10-15,39284.05,12.13,277.42,7.85,-5.26,1.6157158178406716
1980-10-16,39136.9,7.91,153.18,-2.41,-9.27,0.7688044461083833
1980-10-17,38990.53,10.59,145.61,-3.06,-9.52,0.7220265382403751
1980-10-18,38844.99,0.0,307.0,-1.08,-11.36,1.0788410421792647
1980-10-19,38700.3,0.0,481.75,2.74,-14.7,1.5908054642489693
1980-10-20,38556.52,0.0,497.24,2.53,-15.9,1.5889153248736276
1980-10-21,38413.67,0.0,503.1,4.65,-14.35,1.7355845464282413
1980-10-22,38271.8,0.0,505.65,6.39,-12.99,1.8528138812142199
1980-10-23,38130.95,0.0,479.81,5.69,-12.4,1.7408764007290944
1980-10-24,37991.16,0.0,452.12,1.28,-15.37,1.392364270568177
1980-10-25,37852.47,0.0,510.79,4.43,-15.67,1.67958215796894
1980-10-26,37714.94,0.0,519.38,9.19,-11.85,2.0278904147737515
1980-10-27,37578.59,4.11,209.29,2.22,-7.78,1.0433988655313726
1980-10-28,37443.48,0.0,431.65,-2.49,-18.33,1.1068637516839435
1980-10-29,37309.66,0.0,465.41,-1.75,-19.42,1.178458354084702
1980-10-30,37177.16,0.0,493.39,3.64,-15.91,1.531936911953767
1980-10-31,37046.04,0.0,484.41,7.02,-12.16,1.723215624762964
1980-11-01,36916.35,0.0,486.41,9.3,-10.22,1.8651928992734619
1980-11-02,36788.12,0.0,501.7,10.45,-10.38,1.964586441274447
1980-11-03,36661.42,0.0,448.39,8.07,-9.31,1.6753747132946035
1980-11-04,36536.3,0.0,409.46,7.06,-8.25,1.5224551542817208
1980-11-05,36412.79,0.0,437.9,9.14,-7.68,1.6855475336365116
1980-11-06,36290.96,0.0,482.85,10.54,-9.11,1.854300697627646
1980-11-07,36170.86,0.0,446.44,9.87,-7.43,1.712891163873619
1980-11-08,36052.53,0.0,452.57,9.33,-8.26,1.6749884983005525
1980-11-09,35936.03,0.0,431.43,10.34,-6.08,1.672909044616305
1980-11-10,35821.42,0.0,481.03,13.52,-6.42,1.9721366574206327
1980-11-11,35708.74,0.0,504.52,14.31,-8.08,2.0837241408288776
1980-11-12,35598.06,0.0,398.89,10.37,-4.76,1.5698958054768073
1980-11-13,35489.41,11.68,198.24,7.04,-2.6,1.0979500003845095
1980-11-14,35382.87,7.38,173.62,1.98,-6.28,0.8407553580098229
1980-11-15,35278.48,0.0,454.47,-0.97,-19.42,1.0516491336552918
1980-11-16,35176.29,0.0,381.52,-2.43,-16.99,0.8957648909823637
1980-11-17,35076.36,0.0,447.65,-4.21,-22.99,0.8891271582911939
1980-11-18,34978.75,0.0,486.32,-0.42,-23.18,1.1177167490038136
1980-11-19,34883.5,0.0,447.49,0.26,-19.27,1.0884067379916715
1980-11-20,34790.67,0.0,449.32,1.03,-18.92,1.1238522379455265
1980-11-21,34700.32,0.0,477.94,1.79,-21.32,1.2095478774215835
1980-11-22,34612.48,0.0,442.08,-0.24,-20.17,1.0448051667412372
1980-11-23,34527.23,0.0,378.84,-0.39,-16.23,0.9489603808736147
1980-11-24,34444.6,11.19,143.7,0.03,-7.58,0.7021614948756093
1980-11-25,34364.65,0.0,418.25,-0.72,-18.93,0.9692666453847368
1980-11-26,34287.43,0.0,327.71,-4.8,-17.97,0.7078880279007832
1980-11-27,34212.98,0.0,398.33,-3.79,-20.96,0.8126199332123679
1980-11-28,34141.35,0.0,314.27,-1.55,-14.23,0.7990872656085231
1980-11-29,34072.59,0.0,420.85,2.67,-16.45,1.1074933684866661
1980-11-30,34006.75,0.0,340.32,4.77,-9.41,1.0666064540180007
1980-12-01,33943.86,0.0,162.42,3.6,-2.81,0.7430643108547076
1980-12-02,33883.97,0.0,371.05,0.54,-14.9,0.9190441921865635
1980-12-03,33827.12,0.0,376.94,4.48,-11.5,1.083531029840534
1980-12-04,33773.35,0.0,362.99,6.94,-8.42,1.162669552038511
1980-12-05,33722.69,3.94,195.31,2.82,-7.74,0.8591746983223671
1980-12-06,33675.19,11.91,138.93,-0.35,-7.56,0.6460974495238582
1980-12-07,33630.87,4.51,213.22,-1.01,-12.26,0.744138166829841
1980-12-08,33589.76,0.0,457.61,0.43,-22.51,1.0295382291865185
1980-12-09,33551.9,0.0,384.74,-6.66,-22.72,0.6491641395976536
1980-12-10,33517.31,0.0,450.39,-4.83,-26.91,0.7893195418209487
1980-12-11,33486.02,0.0,437.31,-4.91,-25.48,0.765817050214098
1980-12-12,33458.05,0.0,444.07,-0.25,-22.13,0.9702507680997352
1980-12-13,33433.43,0.0,445.1,0.59,-22.07,1.0182124113998956
1980-12-14,33412.16,0.0,438.26,-0.18,-22.54,0.9780500576698391
1980-12-15,33394.26,0.0,404.67,-1.41,-20.45,0.8708485761222492
1980-12-16,33379.76,0.0,373.59,-0.31,-17.16,0.8718481292916616
1980-12-17,33368.65,0.0,406.89,2.16,-17.36,1.0217090822664876
1980-12-18,33360.95,0.0,410.83,2.5,-17.29,1.0406738672689049
1980-12-19,33356.66,0.0,400.22,1.9,-16.95,0.9962312688511503
1980-12-20,33355.8,0.0,416.21,2.24,-18.04,1.039553061904988
1980-12-21,33358.34,0.0,419.7,0.83,-19.63,0.9839657481228756
1980-12-22,33364.31,3.1,271.17,0.72,-16.14,0.9238253009875804
1980-12-23,33373.68,8.87,190.29,1.84,-8.89,0.8120683666174037
1980-12-24,33386.46,0.0,407.65,-5.0,-24.2,0.7392594918673447
1980-12-25,33402.63,0.0,414.84,-0.86,-20.85,0.9113139160791242
1980-12-26,33422.18,0.0,402.1,2.37,-16.74,1.0297696814238784
1980-12-27,33445.11,0.0,417.81,5.39,-15.31,1.199669921424154
1980-12-28,33471.38,0.0,373.2,6.39,-10.9,1.1633172779487038
1980-12-29,33500.98,0.0,423.6,4.93,-16.35,1.1996211861134611
1980-12-30,33533.89,0.0,432.99,0.31,-21.91,1.0122028253506539
1981-01-01,33570.26,0.0,400.6,4.11,-20.9,1.2573519930577144
1981-01-02,33609.73,0.0,394.6,3.65,-20.32,1.2169691670481109
1981-01-03,33652.43,0.0,359.01,1.54,-18.49,1.0429260426729752
1981-01-04,33698.34,0.0,328.24,-0.37,-17.82,0.91470634936108
