time_s,snd01,snd02,snd03,snd04,snd05,snd06,snd07,snd08,snd09,snd10,snd11,snd12,snd13,snd14,snd15,snd16,snd17,snd18,snd19,snd20,snd21,snd22,snd23,snd24,snd25,snd26,snd27,snd28,snd29,snd30,snd31,snd32,snd33,snd34,snd35,snd36,snd37,snd38,snd39,snd40,snd41,snd42,snd43,snd44,snd45,snd46,snd47,snd48,snd49,snd50,snd51,snd52,snd53,snd54,snd55,snd56,snd57,snd58,snd59,snd60,snd61,snd62,snd63,snd64,snd65,snd66,snd67,snd68,snd69,snd70
2.801000e-05,5.347000e-12,1.173000e-11,2.825000e-12,3.170000e-12,3.784000e-12,9.483000e-12,1.501000e-11,6.835000e-12,1.166000e-11,1.403000e-11,4.036000e-12,4.739000e-12,1.876000e-11,7.383000e-12,1.690000e-11,2.191000e-11,1.474000e-11,5.895000e-12,1.330000e-11,3.264000e-11,2.849000e-11,1.704000e-11,2.705000e-11,2.233000e-11,9.382000e-12,9.728000e-12,1.954000e-11,1.870000e-11,2.095000e-11,2.175000e-11,2.444000e-11,1.562000e-11,3.560000e-11,1.368000e-11,2.523000e-11,1.092000e-11,2.590000e-12,1.529000e-11,3.795000e-12,1.605000e-11,2.205000e-11,1.717000e-11,2.559000e-11,1.546000e-11,3.816000e-11,3.843000e-11,1.658000e-11,3.122000e-11,5.161000e-12,1.461000e-11,3.160000e-11,3.445000e-11,1.724000e-12,3.621000e-12,2.651000e-11,2.430000e-11,6.852000e-12,1.025000e-11,1.941000e-11,8.420000e-12,1.212000e-10,8.631000e-12,8.256000e-12,3.080000e-12,4.394000e-12,7.661000e-11,2.626000e-11,9.234000e-12,1.730000e-11,4.040000e-12
3.229000e-05,4.900000e-12,1.003000e-11,2.473000e-12,2.870000e-12,3.487000e-12,9.158000e-12,1.302000e-11,5.933000e-12,1.024000e-11,1.263000e-11,3.649000e-12,4.364000e-12,1.648000e-11,6.418000e-12,1.475000e-11,1.891000e-11,1.313000e-11,5.545000e-12,1.269000e-11,3.138000e-11,2.495000e-11,1.536000e-11,2.422000e-11,1.982000e-11,8.332000e-12,8.737000e-12,1.893000e-11,1.550000e-11,1.884000e-11,1.980000e-11,2.221000e-11,1.359000e-11,3.227000e-11,1.179000e-11,2.188000e-11,9.820000e-12,2.171000e-12,1.434000e-11,3.182000e-12,1.457000e-11,1.927000e-11,1.547000e-11,2.293000e-11,1.450000e-11,3.433000e-11,3.407000e-11,1.525000e-11,2.922000e-11,4.752000e-12,1.289000e-11,2.835000e-11,3.106000e-11,1.477000e-12,3.032000e-12,2.380000e-11,2.233000e-11,6.451000e-12,9.449000e-12,1.782000e-11,7.851000e-12,1.093000e-10,8.016000e-12,6.962000e-12,2.869000e-12,4.034000e-12,6.987000e-11,2.406000e-11,8.079000e-12,1.596000e-11,3.659000e-12
3.704000e-05,4.503000e-12,8.547000e-12,2.199000e-12,2.578000e-12,3.214000e-12,8.834000e-12,1.124000e-11,5.148000e-12,8.901000e-12,1.136000e-11,3.299000e-12,3.993000e-12,1.442000e-11,5.600000e-12,1.284000e-11,1.624000e-11,1.162000e-11,5.182000e-12,1.206000e-11,3.007000e-11,2.175000e-11,1.387000e-11,2.157000e-11,1.750000e-11,7.375000e-12,7.864000e-12,1.829000e-11,1.273000e-11,1.682000e-11,1.792000e-11,2.010000e-11,1.175000e-11,2.907000e-11,1.009000e-11,1.886000e-11,8.796000e-12,1.795000e-12,1.342000e-11,2.651000e-12,1.316000e-11,1.674000e-11,1.389000e-11,2.050000e-11,1.354000e-11,3.070000e-11,3.003000e-11,1.398000e-11,2.722000e-11,4.347000e-12,1.132000e-11,2.530000e-11,2.793000e-11,1.256000e-12,2.566000e-12,2.126000e-11,2.047000e-11,6.059000e-12,8.669000e-12,1.632000e-11,7.278000e-12,9.808000e-11,7.459000e-12,5.726000e-12,2.660000e-12,3.717000e-12,6.346000e-11,2.193000e-11,7.050000e-12,1.464000e-11,3.383000e-12
4.259000e-05,4.134000e-12,7.215000e-12,1.974000e-12,2.290000e-12,2.958000e-12,8.492000e-12,9.626000e-12,4.457000e-12,7.590000e-12,1.018000e-11,2.970000e-12,3.614000e-12,1.249000e-11,4.895000e-12,1.110000e-11,1.386000e-11,1.018000e-11,4.811000e-12,1.144000e-11,2.872000e-11,1.879000e-11,1.243000e-11,1.910000e-11,1.534000e-11,6.481000e-12,7.054000e-12,1.762000e-11,1.026000e-11,1.488000e-11,1.611000e-11,1.806000e-11,1.007000e-11,2.593000e-11,8.526000e-12,1.606000e-11,7.813000e-12,1.463000e-12,1.248000e-11,2.194000e-12,1.182000e-11,1.440000e-11,1.238000e-11,1.822000e-11,1.257000e-11,2.716000e-11,2.618000e-11,1.270000e-11,2.514000e-11,3.957000e-12,9.837000e-12,2.239000e-11,2.494000e-11,1.061000e-12,2.188000e-12,1.881000e-11,1.867000e-11,5.663000e-12,7.885000e-12,1.484000e-11,6.679000e-12,8.711000e-11,6.924000e-12,4.562000e-12,2.457000e-12,3.426000e-12,5.718000e-11,1.980000e-11,6.122000e-12,1.336000e-11,3.173000e-12
4.884000e-05,3.790000e-12,6.080000e-12,1.793000e-12,2.011000e-12,2.723000e-12,8.129000e-12,8.231000e-12,3.888000e-12,6.397000e-12,9.108000e-12,2.646000e-12,3.245000e-12,1.077000e-11,4.314000e-12,9.487000e-12,1.177000e-11,8.876000e-12,4.432000e-12,1.081000e-11,2.734000e-11,1.621000e-11,1.102000e-11,1.683000e-11,1.337000e-11,5.684000e-12,6.325000e-12,1.691000e-11,8.222000e-12,1.306000e-11,1.440000e-11,1.614000e-11,8.572000e-12,2.299000e-11,7.160000e-12,1.358000e-11,6.915000e-12,1.185000e-12,1.155000e-11,1.806000e-12,1.058000e-11,1.235000e-11,1.098000e-11,1.616000e-11,1.162000e-11,2.388000e-11,2.270000e-11,1.149000e-11,2.308000e-11,3.593000e-12,8.509000e-12,1.971000e-11,2.221000e-11,8.910000e-13,1.904000e-12,1.656000e-11,1.700000e-11,5.266000e-12,7.134000e-12,1.345000e-11,6.084000e-12,7.695000e-11,6.418000e-12,3.599000e-12,2.268000e-12,3.154000e-12,5.136000e-11,1.778000e-11,5.262000e-12,1.212000e-11,2.999000e-12
5.613000e-05,3.463000e-12,5.140000e-12,1.651000e-12,1.753000e-12,2.504000e-12,7.767000e-12,7.046000e-12,3.423000e-12,5.342000e-12,8.180000e-12,2.344000e-12,2.895000e-12,9.272000e-12,3.836000e-12,8.054000e-12,1.000000e-11,7.712000e-12,4.056000e-12,1.020000e-11,2.596000e-11,1.399000e-11,9.707000e-12,1.480000e-11,1.162000e-11,4.980000e-12,5.671000e-12,1.619000e-11,6.574000e-12,1.141000e-11,1.283000e-11,1.437000e-11,7.274000e-12,2.029000e-11,6.000000e-12,1.143000e-11,6.114000e-12,9.664000e-13,1.066000e-11,1.480000e-12,9.458000e-12,1.057000e-11,9.723000e-12,1.434000e-11,1.069000e-11,2.089000e-11,1.961000e-11,1.037000e-11,2.106000e-11,3.265000e-12,7.345000e-12,1.730000e-11,1.976000e-11,7.459000e-13,1.693000e-12,1.453000e-11,1.543000e-11,4.887000e-12,6.447000e-12,1.215000e-11,5.507000e-12,6.763000e-11,5.941000e-12,2.866000e-12,2.089000e-12,2.893000e-12,4.600000e-11,1.588000e-11,4.470000e-12,1.095000e-11,2.841000e-12
6.447000e-05,3.174000e-12,4.360000e-12,1.544000e-12,1.526000e-12,2.303000e-12,7.400000e-12,6.042000e-12,3.036000e-12,4.415000e-12,7.316000e-12,2.065000e-12,2.568000e-12,7.995000e-12,3.439000e-12,6.784000e-12,8.501000e-12,6.688000e-12,3.690000e-12,9.601000e-12,2.458000e-11,1.209000e-11,8.484000e-12,1.300000e-11,1.009000e-11,4.368000e-12,5.098000e-12,1.546000e-11,5.266000e-12,9.917000e-12,1.139000e-11,1.274000e-11,6.156000e-12,1.783000e-11,5.043000e-12,9.614000e-12,5.401000e-12,7.961000e-13,9.804000e-12,1.208000e-12,8.454000e-12,9.053000e-12,8.598000e-12,1.272000e-11,9.812000e-12,1.823000e-11,1.691000e-11,9.327000e-12,1.914000e-11,2.973000e-12,6.329000e-12,1.515000e-11,1.756000e-11,6.224000e-13,1.534000e-12,1.274000e-11,1.396000e-11,4.529000e-12,5.827000e-12,1.095000e-11,4.959000e-12,5.924000e-11,5.494000e-12,2.346000e-12,1.916000e-12,2.643000e-12,4.113000e-11,1.414000e-11,3.741000e-12,9.820000e-12,2.697000e-12
7.407000e-05,2.934000e-12,3.708000e-12,1.454000e-12,1.327000e-12,2.114000e-12,7.033000e-12,5.191000e-12,2.702000e-12,3.599000e-12,6.536000e-12,1.811000e-12,2.257000e-12,6.894000e-12,3.101000e-12,5.671000e-12,7.227000e-12,5.781000e-12,3.338000e-12,9.019000e-12,2.319000e-11,1.045000e-11,7.366000e-12,1.139000e-11,8.737000e-12,3.828000e-12,4.600000e-12,1.472000e-11,4.229000e-12,8.551000e-12,1.008000e-11,1.125000e-11,5.203000e-12,1.557000e-11,4.242000e-12,8.079000e-12,4.761000e-12,6.599000e-13,8.981000e-12,9.842000e-13,7.556000e-12,7.750000e-12,7.586000e-12,1.127000e-11,8.964000e-12,1.583000e-11,1.454000e-11,8.361000e-12,1.728000e-11,2.705000e-12,5.435000e-12,1.321000e-11,1.558000e-11,5.199000e-13,1.414000e-12,1.114000e-11,1.257000e-11,4.179000e-12,5.237000e-12,9.837000e-12,4.440000e-12,5.161000e-11,5.077000e-12,2.001000e-12,1.751000e-12,2.403000e-12,3.666000e-11,1.251000e-11,3.091000e-12,8.758000e-12,2.559000e-12
8.507000e-05,2.724000e-12,3.149000e-12,1.363000e-12,1.143000e-12,1.930000e-12,6.658000e-12,4.444000e-12,2.406000e-12,2.876000e-12,5.810000e-12,1.582000e-12,1.954000e-12,5.916000e-12,2.797000e-12,4.693000e-12,6.135000e-12,4.963000e-12,3.003000e-12,8.446000e-12,2.179000e-11,8.990000e-12,6.350000e-12,9.934000e-12,7.531000e-12,3.345000e-12,4.173000e-12,1.396000e-11,3.387000e-12,7.312000e-12,8.872000e-12,9.867000e-12,4.373000e-12,1.349000e-11,3.558000e-12,6.755000e-12,4.182000e-12,5.519000e-13,8.172000e-12,8.024000e-13,6.746000e-12,6.607000e-12,6.645000e-12,9.938000e-12,8.134000e-12,1.362000e-11,1.242000e-11,7.459000e-12,1.546000e-11,2.453000e-12,4.638000e-12,1.142000e-11,1.376000e-11,4.356000e-13,1.321000e-12,9.681000e-12,1.126000e-11,3.832000e-12,4.659000e-12,8.791000e-12,3.927000e-12,4.453000e-11,4.676000e-12,1.789000e-12,1.592000e-12,2.172000e-12,3.245000e-11,1.099000e-11,2.519000e-12,7.767000e-12,2.417000e-12
9.768000e-05,2.521000e-12,2.678000e-12,1.275000e-12,9.778000e-13,1.752000e-12,6.274000e-12,3.807000e-12,2.152000e-12,2.265000e-12,5.144000e-12,1.375000e-12,1.666000e-12,5.051000e-12,2.526000e-12,3.836000e-12,5.186000e-12,4.250000e-12,2.685000e-12,7.881000e-12,2.038000e-11,7.716000e-12,5.431000e-12,8.627000e-12,6.468000e-12,2.923000e-12,3.796000e-12,1.317000e-11,2.723000e-12,6.207000e-12,7.771000e-12,8.602000e-12,3.652000e-12,1.162000e-11,2.990000e-12,5.642000e-12,3.677000e-12,4.685000e-13,7.392000e-12,6.569000e-13,6.013000e-12,5.625000e-12,5.802000e-12,8.733000e-12,7.328000e-12,1.166000e-11,1.056000e-11,6.616000e-12,1.373000e-11,2.214000e-12,3.945000e-12,9.833000e-12,1.211000e-11,3.679000e-13,1.243000e-12,8.391000e-12,1.011000e-11,3.499000e-12,4.112000e-12,7.822000e-12,3.441000e-12,3.817000e-11,4.297000e-12,1.659000e-12,1.442000e-12,1.950000e-12,2.860000e-11,9.597000e-12,2.020000e-12,6.848000e-12,2.272000e-12
