56
# x y z
21.375 2965.981 0.0
22.875 2964.563 0.0
24.375 2963.821 0.0
25.875 2963.132 0.0
27.375 2962.38 0.0
28.875 2961.36 0.0
30.375 2960.586 0.0
31.875 2959.859 0.0
33.375 2959.2 0.0
34.875 2958.635 0.0
36.375 2958.012 0.0
37.875 2957.277 0.0
39.375 2956.528 0.0
40.875 2955.697 0.0
42.375 2954.975 0.0
43.875 2954.283 0.0
45.375 2953.512 0.0
46.875 2952.847 0.0
48.375 2951.95 0.0
49.875 2951.131 0.0
51.375 2950.357 0.0
52.875 2949.624 0.0
54.375 2948.811 0.0
55.875 2948.158 0.0
57.375 2947.454 0.0
58.875 2946.845 0.0
60.375 2946.19 0.0
61.875 2945.65 0.0
63.375 2945.17 0.0
64.875 2944.684 0.0
66.375 2944.204 0.0
67.875 2943.74 0.0
69.375 2943.484 0.0
70.875 2943.148 0.0
72.375 2942.711 0.0
73.875 2942.282 0.0
75.375 2941.835 0.0
76.875 2941.254 0.0
78.375 2940.771 0.0
79.875 2940.297 0.0
81.375 2939.781 0.0
82.875 2939.288 0.0
84.375 2939.127 0.0
85.875 2939.202 0.0
87.375 2939.147 0.0
88.875 2939.03 0.0
90.375 2938.745 0.0
91.875 2938.389 0.0
93.375 2938.393 0.0
94.875 2938.589 0.0
96.375 2938.645 0.0
97.875 2938.588 0.0
99.375 2938.778 0.0
100.875 2938.937 0.0
102.375 2939.046 0.0
103.875 2939.099 0.0
930
# a b m n r rhoa k
6 24 12 18 22.039913 1407.6088029000666 63.86635023922584
6 27 13 20 18.2802645 1353.8871763029235 74.06277826575887
6 30 14 22 16.5851888 1381.7456100227387 83.31202174935378
6 33 15 24 13.8189194 1260.9846364058233 91.25059636760189
6 36 16 26 11.483726 1126.891718963677 98.12945022927897
6 39 17 28 9.50126385 1009.434833870965 106.24216418018587
6 42 18 30 8.11141605 965.2816663062938 119.00285478591543
6 45 19 32 7.26403795 933.7406661426621 128.54292234839744
6 48 20 34 6.59030368 939.5445589796128 142.5646836018963
6 51 21 36 6.26490536 966.6959218348821 154.3033559624087
7 10 8 9 255.933677 2638.1042620125368 10.307765249715601
7 13 9 11 147.050961 3169.568512083432 21.55421828275867
7 16 10 13 66.2938411 2071.056679910666 31.240559387509467
7 19 11 15 34.6261578 1426.57670345019 41.199393582449105
7 22 12 17 28.0333039 1476.7736508154264 52.67925807401626
7 25 13 19 22.3414795 1412.095777991441 63.20511486230986
7 28 14 21 18.9179213 1392.5053739413477 73.60773691036275
7 31 15 23 15.6468317 1287.3546798455063 82.27574147458276
7 34 16 25 13.1302053 1178.1787152165098 89.73041078165852
7 37 17 27 10.6910323 1028.4592003154646 96.19830634273406
7 40 18 29 8.79424753 934.6993314987894 106.2853107454879
7 43 19 31 7.83673825 933.887196629614 119.16784341107909
7 46 20 33 7.06224407 915.1711278607739 129.5864485551225
7 49 21 35 6.40728563 921.272767091244 143.785187720942
7 52 22 37 6.10974394 949.2466888366739 155.36603467487933
8 11 9 10 340.102379 3536.0608437748774 10.397048248153764
8 14 10 12 130.543917 2737.205913231371 20.96770172164645
8 17 11 14 50.132182 1501.494723269323 29.95071555571475
8 20 12 16 39.9603907 1632.3982753417145 40.8504082854654
8 23 13 18 30.4955288 1609.4026424070532 52.77503639835402
8 26 14 20 23.8028126 1497.8542760110067 62.927617050222324
8 29 15 22 19.3073639 1391.6391458126793 72.07815385986895
8 32 16 24 15.2716203 1239.4743290751717 81.16193990726522
8 35 17 26 12.6651792 1108.8887893825383 87.5541334134884
8 38 18 28 9.77817757 937.4216226437416 95.86874608616272
8 41 19 30 8.47203396 913.2131373316212 107.79148686646923
8 44 20 32 7.68373841 918.348745569059 119.5184813129341
8 47 21 34 6.81944288 896.8216565097622 131.50951951514287
8 50 22 36 6.35174647 922.5494676698573 145.24343375907088
8 53 23 38 6.07254561 942.2929399462125 155.17264100816075
9 12 10 11 373.439533 3820.8026248101996 10.231382291307117
9 15 11 13 82.1191941 1666.3911376953256 20.29234646002603
9 18 12 15 51.3436579 1552.2521300998155 30.232597239625495
9 21 13 17 39.6438135 1674.770007539066 42.24543149813441
9 24 14 19 29.9059152 1584.0814125498089 52.96883248534755
9 27 15 21 22.3368285 1406.8983885651492 62.98559298895764
9 30 16 23 17.7876542 1277.458563060986 71.81714624635474
9 33 17 25 14.2277314 1132.9464774636454 79.62945360801831
9 36 18 27 11.2307027 972.3773646053033 86.58205907323175
9 39 19 29 9.23380864 892.3942722852992 96.64422418497284
9 42 20 31 8.28777441 908.1256446460721 109.5741268669585
9 45 21 33 7.31082577 882.5187866954503 120.71396781426105
9 48 22 35 6.49760452 876.7024143280827 134.92701989318405
9 51 23 37 6.42350746 940.834096132436 146.46734700490813
9 54 24 39 5.94526425 923.1704230359936 155.27828271653252
10 13 11 12 210.275122 2243.3849901971084 10.668808410902304
10 16 12 14 84.2078264 1712.094020547451 20.331768360992285
10 19 13 16 60.8827571 1908.8572307601821 31.353002421110496
10 22 14 18 43.7027086 1893.1502054183943 43.31883002369318
10 25 15 20 29.2509703 1546.8518586899563 52.88206999033999
10 28 16 22 22.1571623 1389.2258258403488 62.69872500055428
10 31 17 24 17.4108525 1241.6319310442548 71.31367812370215
10 34 18 26 13.4947733 1064.9161767087317 78.91323203693474
10 37 19 28 10.5610221 921.1494626144457 87.22162058674658
10 40 20 30 9.1146792 893.0047249370317 97.97434504738595
10 43 21 32 8.07099482 898.2309683832082 111.29123341243927
