MyBeautifulLine
3.0
11
0
Type of measurement (0=app. resistivity,1=resistance)
1
3647
2
0
4 2.00 0.00 1.00 0.00 4.00 0.00 5.00 0.00 1.768385
4 2.00 0.00 1.00 0.00 5.00 0.00 6.00 0.00 0.535217
4 2.00 0.00 1.00 0.00 6.00 0.00 7.00 0.00 0.2808485
4 2.00 0.00 1.00 0.00 7.00 0.00 8.00 0.00 0.1468125
4 2.00 0.00 1.00 0.00 8.00 0.00 9.00 0.00 0.06951495
4 2.00 0.00 1.00 0.00 9.00 0.00 10.00 0.00 0.0462851
4 3.00 0.00 2.00 0.00 4.00 0.00 5.00 0.00 17.07235
4 3.00 0.00 2.00 0.00 5.00 0.00 6.00 0.00 3.148095
4 3.00 0.00 2.00 0.00 6.00 0.00 7.00 0.00 1.407445
4 3.00 0.00 2.00 0.00 7.00 0.00 8.00 0.00 0.487703
4 3.00 0.00 2.00 0.00 8.00 0.00 9.00 0.00 0.164579
4 3.00 0.00 2.00 0.00 9.00 0.00 10.00 0.00 0.1579765
4 3.00 0.00 2.00 0.00 10.00 0.00 11.00 0.00 0.136099
4 3.00 0.00 1.00 0.00 5.00 0.00 7.00 0.00 5.37577
4 3.00 0.00 1.00 0.00 7.00 0.00 9.00 0.00 0.8806115
4 3.00 0.00 1.00 0.00 9.00 0.00 11.00 0.00 0.402308
4 3.00 0.00 1.00 0.00 11.00 0.00 13.00 0.00 0.2353435
4 3.00 0.00 1.00 0.00 17.00 0.00 19.00 0.00 0.07114005
4 4.00 0.00 3.00 0.00 5.00 0.00 6.00 0.00 12.69975
4 4.00 0.00 3.00 0.00 6.00 0.00 7.00 0.00 3.579355
4 4.00 0.00 3.00 0.00 7.00 0.00 8.00 0.00 1.17514
4 4.00 0.00 3.00 0.00 8.00 0.00 9.00 0.00 0.411921
4 4.00 0.00 3.00 0.00 9.00 0.00 10.00 0.00 0.2355935
4 4.00 0.00 3.00 0.00 10.00 0.00 11.00 0.00 0.2202315
4 4.00 0.00 3.00 0.00 11.00 0.00 12.00 0.00 0.15889
4 4.00 0.00 2.00 0.00 6.00 0.00 8.00 0.00 6.634675
4 4.00 0.00 2.00 0.00 8.00 0.00 10.00 0.00 0.974356
4 4.00 0.00 2.00 0.00 10.00 0.00 12.00 0.00 0.6344405
4 4.00 0.00 2.00 0.00 12.00 0.00 14.00 0.00 0.206495
4 4.00 0.00 2.00 0.00 14.00 0.00 16.00 0.00 0.09730065
4 4.00 0.00 2.00 0.00 18.00 0.00 20.00 0.00 0.08665785
4 4.00 0.00 1.00 0.00 7.00 0.00 10.00 0.00 2.89367
4 4.00 0.00 1.00 0.00 10.00 0.00 13.00 0.00 0.8725565
4 4.00 0.00 1.00 0.00 13.00 0.00 16.00 0.00 0.2106385
4 4.00 0.00 1.00 0.00 16.00 0.00 19.00 0.00 0.142479
4 4.00 0.00 1.00 0.00 19.00 0.00 22.00 0.00 0.08330165
4 4.00 0.00 1.00 0.00 25.00 0.00 28.00 0.00 0.06495595
4 5.00 0.00 4.00 0.00 6.00 0.00 7.00 0.00 14.6629
4 5.00 0.00 4.00 0.00 7.00 0.00 8.00 0.00 2.84953
4 5.00 0.00 4.00 0.00 8.00 0.00 9.00 0.00 0.846662
4 5.00 0.00 4.00 0.00 9.00 0.00 10.00 0.00 0.327504
4 5.00 0.00 4.00 0.00 10.00 0.00 11.00 0.00 0.215555
4 5.00 0.00 4.00 0.00 11.00 0.00 12.00 0.00 0.2342055
4 5.00 0.00 4.00 0.00 12.00 0.00 13.00 0.00 0.102846
4 5.00 0.00 3.00 0.00 7.00 0.00 9.00 0.00 5.26351
4 5.00 0.00 3.00 0.00 9.00 0.00 11.00 0.00 1.0112585
4 5.00 0.00 3.00 0.00 11.00 0.00 13.00 0.00 0.54604
4 5.00 0.00 3.00 0.00 13.00 0.00 15.00 0.00 0.119397
4 5.00 0.00 3.00 0.00 15.00 0.00 17.00 0.00 0.1427155
4 5.00 0.00 3.00 0.00 17.00 0.00 19.00 0.00 0.0740273
4 5.00 0.00 3.00 0.00 19.00 0.00 21.00 0.00 0.0584548
