x_m,y_m,gravity_disturbance_mGal
255073.796,57635.666,31.088
255915.550,70052.804,28.931
256250.236,67828.905,30.300
256418.587,72275.590,26.538
256418.587,41882.681,48.250
256418.587,56339.133,37.822
256585.930,65974.174,36.800
256922.632,89882.195,18.229
257022.432,6486.000,27.342
257392.401,14121.756,46.578
257593.011,14083.949,36.898
257762.370,80244.931,27.544
257896.446,19403.515,43.956
259325.916,31042.288,48.309
259442.855,57080.804,40.105
259779.557,29096.376,52.716
259912.624,25073.344,44.804
259946.899,109156.724,32.169
260450.944,96369.307,15.793
260617.279,81543.688,22.394
260937.851,1279.854,28.049
261291.690,15010.203,48.917
261963.078,84693.840,31.447
262971.167,58748.728,38.966
264314.950,60230.956,40.602
264483.301,61712.072,42.974
264483.301,64123.890,44.569
264483.301,86918.850,35.346
264817.987,17605.493,37.567
265019.604,31653.860,48.539
265155.696,65974.174,47.498
265490.382,104708.927,34.808
265658.733,102113.637,30.842
266197.053,19773.794,48.596
266499.479,68013.489,47.478
267674.911,88399.967,34.273
267842.254,21868.706,49.502
268681.993,73202.956,35.521
268851.352,74687.408,33.179
269019.702,76537.692,30.703
269187.045,85434.398,33.166
269354.388,79504.373,25.689
269439.068,26353.198,44.654
269523.747,82654.525,26.395
269523.747,25574.833,45.402
269523.747,26872.478,45.037
269523.747,70607.666,44.342
271203.224,91180.952,38.056
271203.224,85990.373,33.077
271371.575,87842.880,40.266
272043.970,29466.656,40.165
273218.394,93772.906,39.784
273555.096,106748.242,19.570
274060.149,41327.818,43.524
275067.230,95443.053,40.090
276076.327,30392.909,39.611
276579.364,107488.800,28.579
277251.759,98221.815,45.641
278091.498,98963.485,46.772
280948.422,102486.140,41.145
281620.818,98221.815,46.935
283804.339,57449.971,59.357
284476.735,97110.977,45.090
284812.428,104523.231,11.143
286661.264,32616.808,48.484
288173.398,66160.981,55.137
288340.741,80430.626,45.617
288509.092,108785.333,2.715
288677.443,93033.459,45.440
289180.479,85064.119,47.847
291365.009,34284.732,42.440
291701.710,90623.865,42.917
291701.710,73388.652,51.175
293884.224,99148.068,15.861
294221.933,34839.594,43.724
294389.276,102486.140,11.384
296070.769,38362.250,43.583
296070.769,73758.931,48.180
296070.769,88769.134,39.863
298085.940,41327.818,45.061
299934.775,44849.362,46.503
300102.118,74314.905,43.961
300607.171,87842.880,45.456
303126.386,50037.717,48.733
303966.124,7413.366,28.230
304638.520,89882.195,45.890
304807.879,18532.858,42.264
304807.879,73388.652,41.541
305814.960,53003.286,50.758
306990.392,88955.941,42.924
307327.094,40214.757,47.827
307997.473,57080.804,49.561
307997.473,86918.850,42.553
308166.832,91922.622,40.212
308335.183,68940.855,42.384
308839.227,60970.402,45.717
309509.607,64863.337,44.471
309678.966,1667.924,30.800
310184.018,94516.800,20.958
310184.018,95443.053,25.963
310351.361,102668.500,9.605
310351.361,14083.949,34.476
310518.704,100818.216,11.162
311021.741,68570.575,42.615
311191.100,85064.119,40.734
311696.152,106191.155,6.593
313208.286,108971.028,9.639
313542.972,82469.941,28.885
313879.674,71349.337,41.423
314719.412,1297.645,30.168
