x_m,y_m,total_field_anomaly_nT
7148.27,36987.88,-37.00
6963.91,40658.42,-43.00
6861.49,43950.91,-36.00
6554.93,48440.96,-26.00
6569.77,53100.03,-8.00
6351.51,58605.29,13.00
6496.31,54438.81,-4.00
7885.70,27684.20,-43.00
7822.13,30171.63,-46.00
7663.20,34342.55,-44.00
7551.60,36521.97,-27.00
7530.40,36875.57,-37.00
7474.60,38746.98,-58.00
7379.25,41060.95,-42.00
7122.84,47005.43,-35.00
6711.74,54864.69,-5.00
6664.42,60177.58,17.00
6523.15,62747.30,31.00
7200.54,44725.94,-35.00
8313.04,27454.03,-39.00
8197.91,30842.14,-45.00
7983.88,35242.12,-42.00
7832.72,38254.39,-50.00
7735.95,42651.04,-38.00
7538.88,46589.56,-35.00
7532.52,49030.29,-27.00
7177.94,53057.77,-13.00
7199.13,55636.38,-5.00
6861.49,61053.80,8.00
8030.50,33992.29,-41.00
8722.72,26453.27,-43.00
8671.87,28835.07,-39.00
8528.48,31590.48,-40.00
8411.22,34993.04,-41.00
8296.80,36506.41,3.00
8267.83,36903.37,-57.00
8195.08,39378.57,-47.00
8221.92,41063.17,-47.00
8053.10,43299.30,-34.00
7808.00,47097.72,-30.00
7743.02,51163.01,-20.00
7521.93,56792.81,-1.00
7331.92,62264.71,21.00
7720.41,53730.50,-8.00
9035.64,27779.83,-43.00
8946.64,31333.62,-44.00
8816.67,36073.86,-37.00
8779.23,36713.23,-17.00
8674.69,39072.79,-47.00
8402.04,43398.27,-29.00
8279.14,46073.62,-30.00
8260.06,49168.17,-24.00
8080.65,52993.28,-12.00
7887.82,57607.87,8.00
7731.71,62890.74,31.00
7971.17,54630.07,-4.00
9494.06,27410.66,-39.00
9427.66,29150.86,-41.00
9357.73,30511.89,-40.00
9251.07,32704.65,-43.00
9157.84,35802.54,-41.00
9133.11,36752.15,-37.00
9032.81,38981.61,-44.00
8996.79,40212.53,-42.00
9013.74,42300.77,-33.00
8813.14,44181.08,-37.00
8705.77,47131.08,-31.00
8647.15,48214.12,-26.00
8601.23,50678.20,-17.00
8436.65,53005.51,-14.00
8329.29,55647.50,-4.00
8239.58,58864.37,8.00
8131.51,61985.61,22.00
8075.00,63600.16,27.00
8781.35,45306.37,-33.00
9877.61,27230.53,-51.00
9788.61,30825.46,-46.00
9607.08,35569.03,-41.00
9505.36,37215.83,-56.00
9376.10,39791.10,-41.00
9227.06,42239.62,-41.00
9174.08,44623.64,-36.00
8963.59,50444.69,-18.00
8800.42,54340.96,-3.00
8663.39,58559.70,14.00
8442.30,63576.81,31.00
10325.43,26111.90,-53.00
10173.57,30499.66,-44.00
9991.33,34955.24,-49.00
9891.03,36646.51,-32.00
9856.42,39318.53,-45.00
9645.22,42676.61,-37.00
9506.07,46546.20,-35.00
9377.51,50084.42,-23.00
9276.50,53481.42,-7.00
