x_m,y_m,total_field_anomaly_nT
27598.53,65372.61,46.00
27150.00,75105.50,-229.00
27121.04,75551.39,-200.00
28593.78,47903.89,-29.00
28516.08,50462.48,-27.00
28162.20,58106.02,-2.00
27976.43,65234.73,37.00
27893.79,70082.83,64.00
27769.47,71484.99,133.00
27744.04,71843.04,312.00
27693.18,72399.02,252.00
27664.22,72778.19,142.00
27644.45,73386.43,97.00
27657.16,74306.01,1.00
27653.63,74866.43,-99.00
27628.20,75689.27,-100.00
27602.77,76131.83,30.00
27588.64,76534.36,190.00
27575.93,77120.35,449.00
27554.03,77775.29,499.00
27535.67,78287.90,398.00
27515.89,78928.38,298.00
27315.29,83459.58,194.00
27611.25,75814.92,-70.00
27588.64,76311.97,90.00
28982.98,48198.55,-30.00
28880.56,52042.56,-23.00
28648.17,56254.63,-12.00
28266.74,67225.12,55.00
28186.92,71287.07,103.00
28177.03,71595.08,232.00
28159.38,71983.15,362.00
28141.01,72234.45,262.00
28127.59,72584.71,142.00
28070.38,73646.62,62.00
28035.06,74242.63,-31.00
28009.63,74819.73,-119.00
27989.15,75361.25,-180.00
27970.07,75936.13,-100.00
27961.60,76189.65,60.00
27946.06,76551.04,230.00
27937.58,76826.80,370.00
27925.57,77142.59,489.00
27900.15,77837.56,549.00
27897.32,78202.28,448.00
27877.54,78574.78,348.00
27789.95,80590.75,246.00
28675.72,55655.28,-13.00
27970.78,75870.52,-130.00
27965.84,76160.74,30.00
29411.03,47758.22,-29.00
29232.32,52451.76,-16.00
29052.20,56762.79,-5.00
28641.81,68791.85,70.00
28600.85,70605.44,93.00
28559.17,71351.56,172.00
28543.63,71811.91,292.00
28533.04,72027.63,390.00
28518.20,72253.35,262.00
28515.38,72777.08,132.00
28535.15,73613.27,32.00
28497.72,73970.20,-68.00
28477.94,74314.91,-129.00
28442.62,74655.16,-149.00
28447.57,75022.11,-340.00
28432.73,75478.00,-240.00
28432.03,75788.24,-82.00
28413.66,76114.04,110.00
28407.31,76370.90,310.00
28352.21,76984.70,329.00
28341.61,77261.57,469.00
28331.73,77539.56,609.00
28326.78,77957.65,609.00
28299.23,78400.21,438.00
28266.74,78779.38,338.00
28204.58,80445.08,246.00
28436.27,74804.16,-249.00
28445.45,75425.74,-290.00
28442.62,75650.36,-110.00
29770.56,47650.36,-32.00
29591.86,52313.88,-23.00
29559.36,54502.19,-22.00
29312.85,62378.13,21.00
29098.82,68926.40,52.00
29058.56,70391.95,74.00
29069.16,71202.56,142.00
29053.62,71626.21,262.00
29038.08,71982.04,282.00
29014.77,72214.43,182.00
28982.98,72695.91,82.00
28925.77,73487.62,2.00
28916.58,73737.80,-118.00
28891.16,74091.40,-79.00
28869.26,74448.34,-179.00
28838.89,74701.86,-329.00
28814.16,75222.26,-330.00
28792.97,75502.47,-70.00
28762.60,76002.84,90.00
28745.65,76308.63,259.00
28730.81,76796.78,259.00
28709.62,77168.17,309.00
28697.62,77378.33,469.00
28679.96,77621.84,629.00
28662.30,78128.89,568.00
28657.35,78495.83,428.00
28674.31,78897.25,328.00
28590.96,80817.58,226.00
29296.60,65146.88,36.00
28808.51,75142.20,-370.00
28812.75,75435.75,-140.00
28796.50,75751.54,50.00
30094.78,48388.70,-23.00
30055.22,51047.37,-22.00
29941.50,53041.09,-19.00
29783.98,57472.21,-2.00
29690.74,60910.36,17.00
29617.99,65447.11,41.00
29348.16,70110.63,73.00
29353.11,71182.54,152.00
29350.28,71507.23,262.00
29331.92,71805.24,382.00
29311.43,72117.69,232.00
29298.72,72535.79,112.00
29254.93,73022.82,12.00
29191.35,73644.40,-129.00
29098.82,74213.72,-159.00
29047.26,74585.11,-299.00
29074.10,75242.27,-250.00
29103.06,75533.60,-70.00
29152.51,75920.56,89.00
29151.80,76255.26,199.00
29118.60,76692.25,299.00
29096.70,77115.91,259.00
29081.87,77371.65,428.00
29076.22,77604.05,568.00
29055.74,78151.13,568.00
29051.50,78438.01,468.00
29038.08,78788.28,368.00
29020.42,79532.17,267.00
28980.86,82915.83,205.00
29835.55,55118.21,-9.00
29062.80,75264.51,-230.00
29109.42,75628.12,-30.00
30576.51,46819.74,-23.00
30563.79,49103.68,-20.00
30475.50,50649.29,-22.00
30314.45,53451.40,-15.00
30202.85,55510.73,-10.00
30086.30,57528.92,3.00
30073.59,62102.37,27.00
29853.21,66674.70,52.00
29839.08,68365.98,64.00
29858.86,69420.10,73.00
29810.12,70736.65,142.00
29810.12,71076.91,252.00
29744.43,71731.85,252.00
29694.28,72290.05,172.00
29678.03,72631.41,72.00
29666.73,73165.15,-28.00
29658.25,73628.83,-168.00
29631.41,73886.80,-409.00
29621.52,74178.14,-609.00
29610.22,74461.68,-289.00
29571.37,74975.40,-140.00
29567.84,75278.97,-40.00
29535.35,75693.72,130.00
29524.75,75997.28,289.00
29507.80,76465.42,339.00
29455.53,77102.56,279.00
29432.22,77417.24,428.00
29411.74,77784.19,558.00
29413.15,78362.40,478.00
29408.91,78739.35,378.00
29406.79,79390.95,277.00
29420.21,82114.12,216.00
30181.66,55638.61,-7.00
29601.74,74543.97,-229.00
29570.66,75036.56,-110.00
29556.54,75340.12,-10.00
30900.72,47800.48,-30.00
30921.91,49635.19,-32.00
30681.75,53320.19,-21.00
30647.14,56860.64,-10.00
30406.98,62937.44,26.00
30207.79,69112.09,64.00
30163.29,70336.35,123.00
30153.40,70915.68,262.00
30139.28,71505.01,242.00
30135.75,72116.58,152.00
30126.56,72671.44,52.00
30101.13,73140.69,-48.00
30067.94,73584.35,-188.00
30044.63,74028.02,-353.00
30034.03,74364.94,-169.00
30025.55,74754.13,-30.00
30012.13,75351.24,60.00
29998.71,75709.29,160.00
29978.23,76027.31,260.00
29942.21,76999.15,279.00
29925.96,77370.54,378.00
29894.88,78093.31,478.00
29877.93,78639.28,378.00
29858.86,79363.15,277.00
29733.13,83915.48,184.00
30027.67,74863.10,-40.00
29991.65,75525.82,110.00
31400.82,47058.80,-30.00
31222.82,51481.03,-22.00
31062.48,54445.48,-18.00
30884.48,60505.61,12.00
30735.44,68090.21,63.00
30596.29,69851.54,103.00
30591.34,70304.10,232.00
30592.75,70729.98,262.00
30582.16,71404.93,202.00
30540.48,72175.51,102.00
30521.41,72722.59,2.00
30501.63,73179.61,-109.00
30468.44,73873.46,-211.00
30440.18,74499.49,-69.00
30444.42,75159.99,70.00
30431.71,75783.79,170.00
30382.26,76790.10,229.00
30369.55,77217.09,339.00
30344.83,77850.90,446.00
30307.39,78691.54,347.00
30280.55,79586.66,247.00
31424.84,45449.81,-37.00
30438.77,75233.38,90.00
31779.42,47542.50,-30.00
31631.09,50855.00,-32.00
31493.35,53255.70,-20.00
31411.41,58901.06,-2.00
30967.12,67932.32,54.00
30906.37,69603.58,102.00
30865.41,70040.57,193.00
30846.33,70289.65,292.00
30830.79,70575.42,292.00
30824.44,70756.67,192.00
30799.01,71294.85,186.00
30794.77,72045.42,92.00
30806.78,72656.99,-8.00
30808.19,72841.57,-108.00
30798.30,73124.01,-128.00
30791.24,73311.93,-28.00
30774.29,73791.18,-69.00
30771.46,74376.06,-89.00
30763.69,74669.62,11.00
30766.52,75168.88,110.00
30792.65,76816.79,209.00
30778.52,77191.52,309.00
30750.27,77744.16,408.00
30698.00,78622.60,327.00
30624.54,79884.66,227.00
31866.30,45205.19,-39.00
32109.29,47471.34,-28.00
32036.54,50704.89,-20.00
31743.40,56738.32,-9.00
31572.46,63425.59,30.00
31452.38,67861.15,54.00
31383.16,69327.81,113.00
31352.08,70047.24,202.00
31352.08,70443.10,262.00
31350.67,70930.13,162.00
31317.47,72452.39,62.00
31167.72,74102.52,11.00
31107.68,74932.04,110.00
31211.52,76446.51,170.00
31198.80,76971.35,269.00
31164.19,77707.46,368.00
31098.50,78878.35,287.00
30850.57,83661.95,185.00
31124.64,75600.32,140.00
32530.98,47816.04,-23.00
32403.84,50883.91,-12.00
32276.69,56517.05,-5.00
32033.71,62374.79,27.00
31842.99,68098.00,60.00
31804.85,69347.83,113.00
31783.66,69913.81,212.00
31758.94,70373.05,302.00
31726.45,70739.99,202.00
31725.03,71366.02,102.00
31638.86,73463.15,23.00
31634.62,74237.07,121.00
31595.77,76536.58,200.00
31609.19,77241.56,299.00
31619.79,78801.62,267.00
31268.73,83653.06,185.00
32557.12,46347.16,-27.00
33005.65,46383.85,-30.00
32855.20,50458.03,-30.00
32675.08,55606.36,-20.00
32497.08,64037.16,36.00
32303.54,67627.64,54.00
32259.04,68513.87,113.00
32234.31,69290.01,132.00
32220.19,69731.45,232.00
32189.11,70381.94,252.00
32171.45,70844.51,172.00
32098.69,72023.18,81.00
32062.67,73487.62,51.00
32058.43,73982.43,159.00
31996.27,76310.85,180.00
31969.43,77193.74,279.00
31890.32,79280.87,237.00
31649.45,85794.67,153.00
31458.74,91647.97,110.00
32008.28,75618.11,130.00
33133.50,54428.80,-21.00
32976.69,59136.80,0.00
32906.05,62026.75,17.00
32766.20,65796.26,34.00
32592.43,67585.39,54.00
32571.24,68345.96,153.00
32581.84,69179.92,132.00
32591.73,69653.61,232.00
32552.88,70440.87,212.00
32573.36,71479.43,112.00
32499.19,73484.28,111.00
32441.27,75136.64,124.00
32363.58,76622.20,219.00
32230.78,78704.88,247.00
32098.69,83548.53,174.00
32781.03,65265.86,35.00
32377.70,76225.23,179.00
1959.42,57625.66,10.00
1901.50,59502.63,32.00
1854.88,60196.49,132.00
1821.68,60551.20,12.00
7313.55,54200.86,-12.00
16469.27,62828.47,28.00
16434.66,65000.11,53.00
31287.80,98178.45,59.00
33146.92,68805.20,133.00
33214.73,69644.72,312.00
33250.05,70416.41,252.00
33194.95,71473.87,152.00
31611.31,98490.91,62.00
33760.74,61411.85,17.00
33651.25,66938.23,4.00
33570.73,67764.41,113.00
33485.97,68651.75,73.00
33423.10,69211.06,222.00
33382.84,69774.82,302.00
33289.60,70695.51,222.00
33098.89,71964.24,122.00
34622.48,38083.15,-46.00
34338.53,43707.39,-40.00
33974.76,50663.74,-23.00
33909.78,53952.89,-24.00
33594.74,66266.62,4.00
33555.19,67206.21,34.00
33477.49,68491.63,73.00
33454.89,69318.92,280.00
33454.18,70117.30,313.00
33420.98,70912.34,212.00
33350.35,72671.44,118.00
33166.70,75703.73,159.00
33004.24,77714.13,250.00
32981.63,85287.62,153.00
32492.84,92536.42,99.00
32324.02,103266.73,49.00
34650.74,42254.07,-36.00
34704.42,49458.39,-26.00
34132.28,62819.57,27.00
34038.33,66483.45,24.00
33900.59,68037.95,87.00
33812.30,68993.12,-87.00
33754.38,69509.06,313.00
33730.36,70257.40,313.00
33713.41,71086.92,212.00
33631.47,73092.87,131.00
33535.41,76000.62,178.00
33321.39,80834.26,196.00
32924.42,93940.81,90.00
35169.91,37990.86,-44.00
35029.34,41740.35,-39.00
34969.30,47041.01,-22.00
34758.81,52569.63,-12.00
34395.04,64623.16,24.00
34380.21,66119.84,4.00
34318.75,67467.52,43.00
34266.48,68581.69,-35.00
34258.01,69070.95,192.00
34245.29,69768.14,353.00
34164.06,70636.58,272.00
34057.40,71696.26,171.00
34061.64,75529.15,169.00
33808.06,80713.06,197.00
33401.20,92466.37,100.00
33235.21,97153.23,69.00
33204.13,100618.07,59.00
32934.31,104117.37,56.00
35316.12,39346.32,-47.00
35357.09,46458.35,-27.00
35375.45,48783.44,-26.00
35228.53,53033.31,-10.00
34749.63,63029.73,27.00
34695.24,65662.83,-35.00
34694.53,66213.24,44.00
34678.99,66894.87,63.00
34626.02,68140.25,-17.00
34611.18,68724.02,165.00
34615.42,69405.65,232.00
34613.30,69943.83,352.00
34606.24,70733.32,252.00
34587.87,72047.64,151.00
34468.50,74661.83,150.00
34357.60,79228.61,203.00
33836.32,89221.70,123.00
33920.37,94871.51,80.00
33458.42,103525.81,56.00
36040.84,37976.40,-47.00
35878.38,43730.74,-38.00
35622.68,52288.30,-20.00
35081.61,65422.65,-5.00
35095.03,66147.64,14.00
35064.66,67126.15,73.00
35011.68,68204.74,-37.00
34994.03,68896.38,112.00
34981.31,69592.46,212.00
34962.24,70612.11,232.00
34944.58,72145.49,131.00
34898.67,74181.47,145.00
34465.67,82581.14,175.00
34202.21,96128.01,71.00
33874.46,102439.44,55.00
33741.67,108499.56,50.00
36211.77,47392.39,-24.00
35972.32,50760.48,-21.00
35816.22,56801.70,-2.00
35617.03,65286.99,-17.00
35625.50,65616.13,37.00
35607.14,66351.12,74.00
35564.76,67490.87,33.00
35512.49,68353.75,22.00
35467.99,69152.12,102.00
35462.34,69620.26,232.00
35410.77,70884.54,202.00
35289.99,72810.44,120.00
35044.18,75383.49,179.00
34811.79,87900.70,132.00
34373.85,98931.24,58.00
34066.59,110553.33,43.00
36874.33,38456.77,-46.00
36570.60,49396.12,-30.00
36413.08,52084.82,-1.00
36278.17,55740.90,-11.00
36014.70,64732.13,-15.00
35980.09,65443.77,41.00
35945.48,66970.48,63.00
35920.05,68154.71,34.00
35867.78,69314.47,132.00
35846.59,69703.65,252.00
35710.97,71427.17,161.00
35677.77,73049.51,140.00
35487.06,77182.62,202.00
34929.75,92252.87,100.00
34765.17,102334.91,58.00
37358.18,39034.98,-38.00
36991.59,45777.84,-30.00
36816.41,51879.10,-30.00
36752.13,53593.73,-6.00
36309.25,64167.26,5.00
36290.18,64934.50,-87.00
36276.05,65510.49,54.00
36281.00,67414.15,12.00
36198.35,69113.21,92.00
36159.50,69832.64,174.00
36077.57,71975.36,111.00
35983.62,74082.51,169.00
35538.62,86248.34,143.00
35178.38,99031.31,60.00
34983.43,104456.51,54.00
37522.05,39947.89,-42.00
37370.19,45638.85,-26.00
37259.29,50176.71,-25.00
37201.37,51582.21,-20.00
37143.45,53389.13,-6.00
36963.33,59318.05,8.00
36747.89,64378.53,-35.00
36727.41,64961.19,14.00
36694.21,65815.17,165.00
36658.89,67050.54,2.00
36646.89,68057.97,62.00
36634.17,69321.14,292.00
36628.52,69851.54,161.00
36627.81,71517.24,131.00
36504.20,73116.22,130.00
36372.12,79837.96,188.00
35899.57,91914.84,101.00
35464.45,101479.83,55.00
35525.20,105999.90,60.00
38094.20,38136.52,-48.00
37825.79,43046.89,-36.00
37745.97,49143.71,-12.00
37684.52,49828.67,-12.00
37553.13,51244.18,-13.00
37385.73,52777.56,-31.00
37255.76,54458.83,-19.00
37397.74,63984.90,-36.00
37393.50,64426.34,-136.00
37389.26,64811.07,84.00
37378.67,65488.25,53.00
37268.47,66658.02,23.00
37161.11,67527.57,2.00
37103.89,68287.03,82.00
37007.83,69171.03,512.00
36938.61,69688.08,272.00
36872.21,71135.84,140.00
36916.71,72795.98,100.00
36867.97,74426.10,198.00
36436.39,88878.10,122.00
35936.30,103375.70,57.00
35694.02,110849.11,45.00
38357.67,41216.62,-39.00
38122.45,49157.05,-24.00
38005.20,51175.24,-2.00
37941.63,53223.45,-5.00
37894.30,57594.52,0.00
37525.59,63919.29,-66.00
37514.99,64284.01,-86.00
37514.99,64845.55,94.00
37570.09,66003.08,13.00
37543.24,67866.71,72.00
37527.00,68378.21,232.00
37506.51,68845.23,369.00
37477.55,69912.70,152.00
37358.18,71829.70,90.00
37356.06,73181.83,150.00
37154.05,77165.94,187.00
36802.28,88675.73,122.00
36489.37,98863.41,57.00
36099.46,110404.33,45.00
38540.61,46804.17,-25.00
38495.41,50960.63,-32.00
38457.97,52152.64,-12.00
38315.99,53420.27,-12.00
38186.73,62097.92,6.00
38145.76,64020.48,4.00
38092.79,64702.10,36.00
37945.86,66818.14,73.00
37870.99,67984.58,132.00
37832.14,68517.20,312.00
37818.72,68921.95,202.00
37775.63,70292.98,162.00
37790.47,72305.61,80.00
37794.71,73316.37,179.00
37787.64,76477.65,191.00
37294.61,85399.93,147.00
36824.18,100237.78,55.00
36529.63,109713.81,48.00
38869.07,47091.05,-28.00
38925.57,52233.82,-12.00
38891.67,52888.75,48.00
38846.46,54150.82,-5.00
38341.42,62314.75,5.00
38367.56,64151.69,34.00
38436.07,65913.02,-17.00
38440.31,66474.55,83.00
38426.18,67262.92,182.00
38400.75,68049.07,232.00
38358.37,68521.65,252.00
38154.24,70377.49,161.00
38069.48,72475.74,100.00
38031.33,73422.01,199.00
37850.51,82199.74,166.00
37215.50,99219.23,60.00
36869.39,109668.22,47.00
39847.36,45080.65,-29.00
39670.07,50072.19,-31.00
39641.11,51872.43,7.00
39586.01,53582.61,-52.00
39559.17,54409.90,18.00
39495.60,59180.16,7.00
39217.30,63039.74,-46.00
39162.20,64290.68,14.00
39104.28,65343.70,-56.00
39132.53,66029.77,-77.00
39131.83,66450.09,93.00
39134.65,66922.67,202.00
39146.66,67910.08,242.00
39109.93,70058.36,141.00
39016.69,72649.21,129.00
38973.61,73776.72,229.00
38542.73,85704.60,144.00
37971.29,100568.03,56.00
37862.52,106162.24,60.00
40465.42,40223.65,-45.00
40316.38,47694.84,-31.00
40271.88,50752.70,-51.00
40149.68,52489.57,-12.00
40079.04,53613.75,-42.00
40052.91,54195.30,48.00
39524.56,57742.41,-2.00
39627.69,62210.23,-55.00
39683.49,62751.74,-96.00
39726.57,63453.38,14.00
39807.81,64715.45,-26.00
39843.83,65269.20,-126.00
39843.83,65769.58,44.00
39849.48,66479.00,143.00
39736.46,67375.23,202.00
39405.89,69636.93,142.00
39181.27,72715.92,139.00
39172.80,74241.52,233.00
38963.72,85069.68,144.00
38472.10,97559.09,60.00
41146.34,40777.40,-44.00
40843.32,46906.47,-33.00
40977.52,51399.85,-32.00
41016.37,52758.66,-64.00
40992.36,53521.45,28.00
40875.81,55318.36,-12.00
40430.81,59061.19,18.00
40258.46,61878.86,-56.00
40216.78,62380.35,-156.00
40199.83,62757.30,-106.00
40236.56,63103.12,64.00
40298.72,63643.53,-86.00
40319.20,64109.43,14.00
40330.50,64722.12,24.00
40346.04,65224.72,-36.00
40370.06,65770.69,113.00
40412.44,66231.03,173.00
40375.71,67065.00,192.00
40309.31,68390.44,192.00
40232.32,70513.15,91.00
40153.92,72858.25,149.00
40075.51,75099.94,218.00
39530.21,88726.88,120.00
39093.68,102050.26,60.00
41343.41,44412.37,-37.00
41260.77,47228.93,19.00
41255.12,50485.83,-32.00
41226.86,52585.19,-52.00
41181.66,53513.67,38.00
41051.69,56263.52,-15.00
40983.17,59600.48,5.00
40990.94,61158.32,-76.00
40961.98,61679.83,-146.00
40946.44,62025.64,74.00
40928.78,62455.97,44.00
40892.05,63183.18,-56.00
40878.63,63592.38,-204.00
40839.78,64073.85,-26.00
40804.47,64416.33,94.00
40734.54,65253.63,37.00
40766.32,65870.76,123.00
40787.51,66901.54,152.00
40767.74,68805.20,172.00
40622.93,70848.96,79.00
40483.08,73137.35,169.00
40375.71,77558.46,177.00
39982.27,89486.34,113.00
39583.89,101341.94,60.00
41851.98,42393.07,-34.00
41815.25,45293.03,-31.00
41736.85,47217.81,-31.00
41659.86,48953.57,-21.00
41532.71,52602.98,-62.00
41507.99,53462.52,38.00
41451.48,55583.01,-10.00
41347.65,57846.94,-18.00
41311.63,59792.85,5.00
41276.31,61042.68,-76.00
41260.06,61520.82,-254.00
41247.35,61914.45,114.00
41226.86,62445.96,64.00
41210.62,62981.92,-36.00
41195.78,63356.65,-136.00
41183.07,63873.70,-76.00
41164.00,64328.49,74.00
41151.99,65656.16,113.00
41180.24,67504.22,152.00
41094.78,69546.87,152.00
41020.61,71338.22,90.00
40916.07,73098.43,159.00
40779.74,75339.01,218.00
40600.33,83819.85,145.00
40112.24,98506.47,60.00
39704.68,110721.24,49.00
41951.58,46817.51,-21.00
41932.51,47459.11,-31.00
42176.20,50156.70,-33.00
42146.53,52350.57,-65.00
42094.26,53021.08,27.00
41876.71,54661.20,-12.00
41662.68,56242.39,-22.00
41620.30,58626.41,-12.00
41640.79,59468.16,55.00
41694.47,60604.57,-45.00
41704.36,61331.79,-206.00
41711.42,61868.86,14.00
41705.77,62231.35,145.00
41693.76,62665.01,45.00
41677.52,63142.04,-56.00
41647.14,63607.95,-96.00
41604.05,64086.08,34.00
41528.48,64992.32,83.00
41493.86,66422.29,144.00
41483.27,67281.83,152.00
41449.36,68680.66,164.00
41387.91,70857.86,73.00
41406.28,73179.61,149.00
41156.93,76129.61,198.00
40675.20,91933.74,92.00
40192.06,106114.43,60.00
42725.03,41517.96,-42.00
42500.41,46997.65,-31.00
42456.62,50551.44,-34.00
42436.84,52406.17,-22.00
42427.66,53314.63,17.00
42210.81,55934.38,-23.00
42123.93,58246.13,-35.00
42106.27,59480.39,25.00
42073.07,60593.45,-75.00
42062.48,61078.26,-265.00
42050.47,61561.96,-186.00
42034.22,61861.07,34.00
42013.03,62331.43,134.00
42015.15,62847.37,34.00
42013.03,63403.35,-66.00
42017.27,64082.75,23.00
41978.42,65069.05,63.00
41919.79,66402.27,155.00
41837.86,69855.99,131.00
41814.55,71769.65,71.00
41722.02,73394.21,168.00
41487.51,77448.38,177.00
41402.75,90433.72,102.00
40608.10,106678.19,62.00
43222.30,41282.23,-39.00
43097.28,45330.84,-26.00
42792.14,48952.45,-21.00
42784.37,51656.72,-72.00
42825.34,52542.94,38.00
42852.88,53704.93,-2.00
42732.80,56133.42,-3.00
42631.80,56986.29,-27.00
42430.49,58668.67,2.00
42357.73,59643.85,15.00
42320.29,60492.26,-85.00
42314.64,60954.83,-345.00
42317.47,61392.94,-185.00
42314.64,61670.93,75.00
42321.71,62656.12,114.00
42316.06,63202.08,-6.00
42305.46,64635.39,33.00
42311.82,65562.75,132.00
42348.55,69570.22,142.00
42012.33,72217.77,80.00
42015.15,73485.39,178.00
42044.82,77367.21,178.00
41534.83,89859.96,113.00
41177.42,101909.04,67.00
43675.08,41373.41,-38.00
43286.58,47381.27,-21.00
43138.95,51175.24,-52.00
43093.75,52180.44,-12.00
43054.19,52979.93,28.00
42973.67,56391.40,9.00
42944.71,57984.82,-55.00
42917.87,59282.46,-5.00
42900.91,59867.35,5.00
42874.07,60442.23,-185.00
42840.87,60973.74,-205.00
42826.04,61346.24,35.00
42811.21,62016.75,165.00
42828.87,62666.12,74.00
42782.25,63741.38,-26.00
42746.22,64682.09,63.00
42706.67,65671.72,142.00
42653.69,68302.60,155.00
42568.22,71840.82,72.00
42518.78,73238.54,149.00
42383.87,76430.94,188.00
41811.72,93351.48,82.00
43908.17,40617.28,-38.00
43625.63,47689.28,-11.00
43669.42,51148.55,-62.00
43664.48,52080.37,-2.00
43505.55,53411.37,-2.00
43417.96,59981.88,-85.00
43367.11,60486.70,-285.00
43345.21,60819.18,-205.00
43338.85,61203.91,-5.00
43308.48,61630.90,185.00
43239.96,62447.07,124.00
43152.38,63559.02,43.00
43076.09,64816.63,93.00
43045.01,65914.13,172.00
43022.41,70498.70,111.00
42956.01,73069.52,119.00
42866.30,74625.14,217.00
42523.72,88605.68,113.00
41582.16,110278.68,46.00
44113.72,44436.83,-30.00
44101.00,47664.82,-16.00
44106.66,50766.04,-52.00
44011.30,51953.61,8.00
43834.00,54067.42,-6.00
43956.91,56836.17,-25.00
43904.64,57826.92,-125.00
43873.56,58322.85,-85.00
43799.39,59162.37,-15.00
43711.10,60232.07,-105.00
43678.61,60647.94,-185.00
43645.41,61142.75,-5.00
43626.34,61637.57,155.00
43577.60,63087.55,126.00
43600.91,64301.80,93.00
43611.50,65673.95,153.00
43526.04,67627.64,161.00
43373.46,70086.16,121.00
43133.30,73008.36,109.00
43126.24,74299.34,209.00
42996.27,84098.95,135.00
42288.51,105704.12,70.00
41866.82,110691.21,49.00
44454.89,45106.22,-28.00
44458.42,48310.86,-32.00
44433.70,51069.61,-57.00
44345.40,52240.49,30.00
44217.55,54863.58,-3.00
44178.70,57316.54,-65.00
44151.16,58307.28,-145.00
44125.73,58947.77,-55.00
44096.06,59698.33,53.00
44075.58,60194.26,-45.00
44052.97,61007.10,-5.00
44027.54,61491.91,105.00
43977.39,62225.79,104.00
43964.68,63067.54,199.00
43947.73,64250.65,108.00
43886.27,65847.41,162.00
43769.73,69077.62,161.00
43766.90,70775.57,100.00
43700.50,73350.85,149.00
43592.43,75986.17,188.00
43160.15,89991.17,103.00
42501.12,105760.83,68.00
45017.85,44437.94,-30.00
44885.76,46913.14,1.00
44832.78,49284.93,-32.00
44820.07,51996.97,18.00
44579.91,56907.34,-45.00
44530.47,57608.98,-125.00
44505.74,58293.94,-164.00
44525.52,58735.38,-95.00
44512.10,59133.46,45.00
44502.21,60409.98,-15.00
44483.14,60907.02,25.00
44470.43,61569.74,104.00
44469.01,62047.88,24.00
44457.01,62573.83,184.00
44439.35,63342.19,203.00
44370.83,64344.06,123.00
44234.50,66042.00,162.00
44075.58,69047.60,141.00
44129.26,72019.84,83.00
44129.96,73619.94,169.00
43945.61,79492.14,157.00
43510.50,91939.30,92.00
43163.68,98689.95,63.00
43115.65,105676.32,69.00
45335.00,45306.37,-30.00
45387.27,47853.85,-34.00
45316.63,50315.70,-32.00
45091.31,53111.14,-1.00
45028.44,55894.35,-11.00
45031.97,57456.64,-95.00
45005.13,58288.38,-192.00
44988.18,58800.99,-95.00
44975.47,59125.68,5.00
44845.50,60403.31,25.00
44776.28,61360.70,74.00
44772.04,61703.18,74.00
44769.21,62136.84,54.00
44779.81,62804.01,153.00
44793.93,63832.56,173.00
44742.37,66238.82,149.00
44625.12,69978.30,111.00
44559.43,72287.82,89.00
44499.39,74174.80,188.00
43972.45,89337.34,103.00
43600.91,100493.53,57.00
45821.67,41938.28,-37.00
45770.82,45632.17,-31.00
45753.87,46833.08,-1.00
45801.19,48349.78,-33.00
45803.31,50363.52,-35.00
45512.29,53793.88,-3.00
45386.56,57205.34,-74.00
45403.52,57872.51,-115.00
45415.52,58523.00,-164.00
45411.29,59100.10,1.00
45381.62,60117.54,35.00
45265.07,61662.03,54.00
45219.16,62294.73,74.00
45138.63,63039.74,153.00
44981.12,64137.23,163.00
44904.83,68441.59,151.00
44919.67,70519.82,110.00
44974.05,71857.50,98.00
45003.01,74023.57,178.00
44487.38,82558.90,136.00
44254.99,95013.84,72.00
46401.59,40408.24,-41.00
46107.75,46987.64,-34.00
45980.60,48821.24,-22.00
45947.41,51865.76,-1.00
45801.19,57203.12,-84.00
45786.36,57788.00,-104.00
45786.36,58170.51,-134.00
45761.64,58697.58,-85.00
45734.79,59364.75,-5.00
45705.13,59964.09,35.00
45563.15,61734.31,44.00
45481.21,62868.50,63.00
45450.84,63198.75,163.00
45460.73,64220.63,203.00
45510.88,67161.74,141.00
45416.94,70120.63,101.00
45344.89,71588.41,100.00
45232.58,76340.88,158.00
44605.34,95944.54,71.00
43992.23,108271.61,57.00
46493.41,44103.24,-30.00
46452.45,46598.46,-12.00
46426.31,49728.60,-29.00
46206.64,55117.10,-13.00
46174.85,57762.43,-88.00
46163.55,58296.16,-114.00
46136.71,58814.33,-34.00
46077.37,59944.07,-14.00
46022.28,60581.22,-35.00
46003.21,61094.94,65.00
45982.02,62248.03,43.00
45987.67,63125.36,113.00
45963.65,63540.12,213.00
45943.87,64828.87,192.00
45974.25,66819.26,139.00
45831.56,70828.94,100.00
45424.00,79492.14,146.00
44767.80,102970.95,59.00
47030.95,43597.31,-30.00
46947.60,46085.85,-32.00
46788.67,48504.34,-20.00
46655.17,50873.90,-13.00
46717.33,56487.02,-14.00
46635.39,58752.06,-80.00
46558.40,60055.27,-174.00
46528.73,60498.94,-204.00
46517.43,60909.24,95.00
46484.94,61388.50,165.00
46442.56,62245.81,54.00
46403.00,63186.52,93.00
46366.98,63726.92,233.00
46340.84,65233.62,182.00
46139.53,70772.23,100.00
45878.89,83248.31,125.00
45402.81,91207.64,92.00
45260.13,100569.14,60.00
47410.26,43259.27,-30.00
47386.95,46569.55,-21.00
47277.46,49191.52,-28.00
47020.35,55417.33,-24.00
47045.07,56910.68,-24.00
46987.86,58128.26,-43.00
46961.02,58855.47,-104.00
46936.30,59509.30,-174.00
